Analysis_Source	Name (extracted)	Citing Article	Citied Article	Features	Name_Variants	Homepage_URL
citing_context	4000 images of Potato early blight, Tomato early blight, Potato late blight, and Tomato late blight	https://doi.org/10.47839/ijc.22.2.3088 (2023)	https://doi.org/10.1109/ETCCE51779.2020.9350890 (2020)	The dataset of 4000 images of Potato early blight, Tomato early blight, Potato late blight, and Tomato late blight is used to classify plant diseases, specifically focusing on early and late blight in potatoes and tomatoes. It provides a graphical layout for preventive measures, enabling researchers to develop and validate classification models that aid in disease identification and management.		
cited_context	500 images of 30 different native types of plants of Tamil Nadu	https://doi.org/10.3390/app12125919 (2022)	https://www.semanticscholar.org/paper/c03272f644ac84c6bd2b4486ddd81b27d9d77aca (2013)	The dataset of 500 images of 30 different native types of plants from Tamil Nadu is used for training and evaluating SVM models to detect and classify plant diseases. Images are resized to 32x32 pixels and converted to HSI format, enabling precise model training and evaluation for disease identification in these specific plant types.		
citing_context	5162 images	https://doi.org/10.1109/COMPAS60761.2024.10796774 (2024)	https://doi.org/10.1109/SMARTGENCON56628.2022.10083986 (2022)	The '5162 images' dataset is used to train and evaluate a Convolutional Neural Network (CNN) model for potato leaf disease detection. It classifies leaves into healthy, early blight, and late blight categories, achieving 98.07% accuracy. This dataset enables precise disease classification, supporting research in plant health monitoring and disease management.		
citing_context	54306 leaf images	https://doi.org/10.1109/LA-CCI58595.2023.10409445 (2023)	https://doi.org/10.3389/fpls.2016.01419 (2016)	The '54306 leaf images' dataset is used to train and evaluate Convolutional Neural Network (CNN) models for plant disease detection. It focuses on 14 crops and 26 classes, including healthy leaves. This dataset enables researchers to develop and test algorithms that can accurately identify various plant diseases, enhancing agricultural monitoring and management.		
cited_context	575 images made available by Barbedo (2019)	https://doi.org/10.1016/j.compag.2019.105162 (2019)	https://doi.org/10.1016/J.BIOSYSTEMSENG.2019.02.002 (2019)	The dataset of 575 images by Barbedo (2019) is used to augment existing datasets, enhancing the diversity and size of training sets for plant disease identification through deep learning. This augmentation improves model accuracy and robustness in recognizing various symptoms, thereby advancing the field of plant health monitoring and disease management.		
cited_context | citing_context	60,000 rice leaf photographs	https://doi.org/10.1109/ACCESS.2023.3284760 (2023)	https://doi.org/10.1016/J.COMPAG.2019.03.012 (2019)	The 60,000 rice leaf photographs dataset is used to train the AlexNet model for feature extraction, specifically for diagnosing rice diseases. This dataset enables researchers to achieve high accuracy (96.8%) in disease diagnosis, focusing on the identification and classification of rice leaf diseases through machine learning techniques. The large number of images provides a robust training set for model development.; The 60,000 rice leaf photographs dataset is used to train the AlexNet model for feature extraction, specifically to achieve high accuracy in classifying rice diseases. This deep learning approach focuses on enhancing the precision of disease identification through advanced image analysis techniques. The dataset's large size and diverse images enable robust training and validation of the model, facilitating accurate disease classification in rice leaves.		
cited_context	70,295 images	https://doi.org/10.1109/ICCICA60014.2024.10584860 (2024)	https://doi.org/10.1109/icacite51222.2021.9404647 (2021)	The dataset of 70,295 images is used to train and evaluate deep learning models for plant disease detection. It focuses on improving classification accuracy and addressing practical agricultural applications, enabling researchers to develop more effective methods for identifying plant diseases in real-world settings.		
cited_context	70,560 learning patches by the UAV system with an RGB sensor	https://doi.org/10.3390/s21144749 (2021)	https://doi.org/10.1016/J.COMPAG.2018.10.006 (2018)	The dataset of 70,560 learning patches captured by a UAV system with an RGB sensor is primarily used for detecting Esca disease in vineyards. Researchers employ methodologies such as LeNet-5 and vegetation indices (ExR, ExG, ExGR) with a (16 × 16) patch size, achieving up to 95% accuracy in image-based disease diagnosis. This dataset enables precise and efficient identification of vineyard diseases through unmanned aerial vehicle imagery.		
cited_context	800 images of cucumber leaves captured by Saitama Prefectural Agriculture and Forestry Research Center, Japan	https://doi.org/10.3390/s21144749 (2021)	https://doi.org/10.1007/978-3-319-27863-6_59 (2015)	The dataset of 800 cucumber leaf images is used to train and evaluate a Convolutional Neural Network (CNN) for diagnosing viral plant diseases, specifically Cucumber Melon Yellow Spot Virus (MYSV) and Zucchini Yellow Mosaic Virus (ZYMV). The research focuses on achieving high diagnostic accuracy, with an average accuracy of 94%, highlighting the dataset's utility in developing robust disease identification models.		
cited_context | citing_context	93 images of cucumber downy mildew	https://doi.org/10.1109/ACCESS.2023.3284760 (2023)	https://doi.org/10.1109/ACCESS.2020.3039345 (2020)	The '93 images of cucumber downy mildew' dataset is used to test image segmentation methods for detecting cucumber downy mildew, achieving 97.29% accuracy through morphological processes. This dataset enables researchers to evaluate and refine image processing techniques specifically for identifying downy mildew in cucumbers, contributing to the development of accurate disease detection systems.; The '93 images of cucumber downy mildew' dataset is used to test image segmentation methods for diagnosing cucumber downy mildew. Researchers employ morphological processes to achieve high accuracy (97.29%) in identifying the disease. This dataset enables the development and validation of image processing techniques specifically tailored for plant disease diagnosis.		
cited_context	985 images of corn northern blight and healthy corn leaf	https://doi.org/10.3390/agriculture12122047 (2022)	https://doi.org/10.1016/s2095-3119(21)63707-3 (2022)	The dataset of 985 images of corn northern blight and healthy corn leaves is used to train and expand datasets for diagnosing northern corn leaf blight through deep learning. Researchers focus on image augmentation techniques to enhance model performance, improving the accuracy and robustness of disease diagnosis models.		
cited_context	Aberystwyth leaf evaluation dataset (ALED)	https://doi.org/10.1155/2022/3287561 (2022)	https://www.semanticscholar.org/paper/6af9f16cab142e4ae7fc077d55b98258b71e358a (2019)	The Aberystwyth leaf evaluation dataset (ALED) is used to assess the performance of a shallow CNN and Canny edge detector for leaf segmentation. Research focuses on evaluating metrics such as Dice Coefficient (DIC), False Boundary Detection (FBD), and Split Boundary Detection (SBD). This dataset enables researchers to refine and compare segmentation techniques, enhancing accuracy in leaf boundary detection.		
cited_context	AC-I	https://doi.org/10.1016/J.COMPAG.2012.12.002 (2013)	https://doi.org/10.1016/J.COMPAG.2010.02.007 (2010)	The AC-I dataset is used to detect plant diseases from aerial images captured by aircraft and UAVs. It contains spectral features, ranging from six to thirteen, which are utilized to identify prominent variables associated with plant health. This dataset enables researchers to develop and validate algorithms for disease detection, enhancing precision agriculture practices.		
cited_context	AI Challenger	https://doi.org/10.1016/j.compag.2021.106125 (2020)	https://doi.org/10.1145/3371425.3371497 (2019)	The AI Challenger dataset is used to train and evaluate deep learning models for crop disease identification. It focuses on achieving high accuracy in recognizing various plant diseases, enabling researchers to develop robust models for agricultural health monitoring. The dataset's comprehensive labels and diverse image set support these methodologies, facilitating advancements in automated disease recognition.		
cited_context	ALDD	https://doi.org/10.1109/ACCESS.2019.2914929 (2019)	https://doi.org/10.1145/3065386 (2012)	The ALDD dataset is used to train and test deep convolutional networks, specifically for plant disease diagnosis or pest detection. Researchers compare the performance of these networks, including the proposed VGG-INCEP model, using this dataset. The dataset's images enable the evaluation of different models' accuracy and efficiency in identifying plant diseases and pests.		
cited_context	ALDOD testing set	https://doi.org/10.3389/fpls.2022.927424 (2022)	https://doi.org/10.1007/978-3-030-01234-2_1 (2018)	The ALDOD testing set is used to evaluate the performance of MGA-YOLO, specifically focusing on metrics such as average precision, detection speed, and model size. This dataset enables researchers to assess the effectiveness and efficiency of object detection models in various applications, providing a benchmark for comparing different algorithms.		
citing_context	An open access repository of images on plant health	https://doi.org/10.25081/ia.2023-04 (2023)	https://www.semanticscholar.org/paper/3e2da7c1c7dfc7960d1515b61f32fdc55359eea7 (2015)	The dataset is used to develop mobile disease diagnostics through machine learning and crowdsourcing, focusing on a wide range of plant diseases such as apple scab and black rot. It enables researchers to train algorithms for accurate disease identification, leveraging a diverse set of high-quality images. This approach enhances the capability of mobile applications to diagnose plant diseases effectively.		
cited_context | citing_context	apple disease dataset	https://doi.org/10.1109/ACCESS.2023.3284760 (2023)	https://doi.org/10.1016/j.compag.2021.106379 (2021)	The 'apple disease dataset' is used for training and evaluating CNN models to localize diseases in apples, aiming to achieve high mAP scores across multiple disease classes. It also supports data augmentation techniques such as center zoom, random cropping, zooming, and contrast stretching to enhance detection accuracy. This dataset enables researchers to improve the precision and robustness of disease localization models.; The 'apple disease dataset' is used to train and evaluate CNN models for apple disease localization, aiming to achieve high mAP scores across multiple disease classes. It also supports data augmentation techniques such as center zoom, random cropping, zooming, and contrast stretching to enhance detection accuracy. This dataset enables researchers to improve the precision and robustness of disease identification in apples.		
cited_context	apple leaf image dataset	https://doi.org/10.3389/fpls.2022.1002312 (2022)	https://doi.org/10.1016/j.compag.2019.105146 (2020)	The apple leaf image dataset, comprising 2,462 images, is used to train and evaluate DenseNet-121 for identifying six types of apple leaf diseases. This dataset supports research into plant disease diagnosis using deep learning, enabling the development and assessment of models that can accurately classify different disease states in apple leaves.		
citing_context	Apple Orchards diseases	https://doi.org/10.1007/978-3-031-06430-2_32 (2022)	https://doi.org/10.1002/aps3.11390 (2020)	The Apple Orchards diseases dataset is used for disease classification and segmentation, specifically employing a subset of 142 annotated images. Researchers use these detailed annotations to improve the accuracy of disease classification models. The dataset's annotated segmentation features enable more precise training and evaluation of machine learning algorithms focused on identifying and segmenting disease symptoms in apple orchards.		
cited_context	Apple's leaf dataset	https://doi.org/10.1007/s11831-021-09588-5 (2021)	https://doi.org/10.1109/ICTS.2019.8850964 (2019)	The Apple's leaf dataset is used to train and evaluate machine learning models, including CNN, InceptionV3, and VGG16, for identifying apple leaf diseases. Research focuses on comparing model performance and accuracy, enabling advancements in automated disease diagnosis. The dataset's relevance lies in its application for improving the precision of disease identification in apple leaves.		
cited_context	augmented field dataset	https://doi.org/10.14569/ijacsa.2022.0130484 (2022)	https://doi.org/10.1155/2020/8812019 (2020)	The augmented field dataset is used to train and evaluate disease detection models, specifically for improving accuracy in tomato leaf disease classification. Researchers focus on feature extraction and parameter tuning to enhance model performance. This dataset enables the development of more reliable disease detection systems by providing a robust set of images for training and testing.		
cited_context	Author-defined dataset	https://doi.org/10.3390/s21144749 (2021)	https://doi.org/10.1016/J.COMPAG.2018.04.002 (2019)	The author-defined dataset, comprising 8178 images, is used to train and evaluate a ResNet50 model for classifying wheat diseases, specifically Septoria, Tan Spot, and Rust. This dataset enables researchers to develop and test machine learning models for accurate disease classification, enhancing precision in agricultural diagnostics.		
cited_context	banana leaf dataset	https://doi.org/10.1109/ICDT61202.2024.10489081 (2024)	https://doi.org/10.1109/ICECAA58104.2023.10212347 (2023)	The banana leaf dataset is used for fine-tuning a hybrid CNN-LSTM model to classify disease severity on banana leaves. Researchers modify model weights to enhance accuracy, focusing on the specific characteristics of the dataset to improve the model's performance in disease severity classification.		
cited_context	BananaLSD	https://doi.org/10.1109/AIIoT58432.2024.10574771 (2024)	https://doi.org/10.1016/j.dib.2023.109608 (2023)	The BananaLSD dataset is used to classify banana leaf diseases through machine learning techniques, specifically focusing on the categorization of various illnesses affecting banana leaves. This dataset enables researchers to develop and validate models that accurately identify different types of leaf diseases, enhancing disease management and crop health monitoring.		
citing_context	bean leaf diseases dataset	https://doi.org/10.1109/RAEEUCCI57140.2023.10134461 (2023)	https://doi.org/10.1109/ACCESS.2022.3142817 (2022)	The bean leaf diseases dataset is used to classify bean leaf diseases using MobileNet models, focusing on disease identification through deep learning architecture. This dataset enables researchers to develop and test algorithms for accurate disease classification, contributing to the field of plant disease diagnosis.		
cited_context	Beans Disease Dataset	https://doi.org/10.1007/s10462-023-10517-0 (2023)	https://doi.org/10.1109/ACCESS.2019.2907383 (2019)	The Beans Disease Dataset is primarily used for classifying plant leaf diseases across various crops, including beans, soybeans, cucumbers, and mangoes, among others. It supports the development and evaluation of machine learning and deep learning models, particularly focusing on image-based diagnosis methods. The dataset is utilized to improve diagnostic accuracy, identify specific disease types, and enhance real-time disease detection. It often involves multilayer convolutional neural networks and ensemble approaches, and is sometimes expanded by subdividing images to increase dataset size. The dataset's high-resolution images and diverse disease categories enable robust training and testing of models for plant health monitoring and disease management.		
cited_context	Bell-pepper custom dataset	https://doi.org/10.3390/agriculture13020510 (2023)	https://doi.org/10.1007/s11760-021-02024-y (2021)	The Bell-pepper custom dataset is used to train and evaluate a YOLOv5 model for detecting diseases in bell pepper plants, specifically focusing on leaf-based symptoms. This dataset enables researchers to classify and identify various diseases by leveraging deep learning techniques, enhancing the accuracy of disease diagnosis in agricultural settings.		
cited_context	Black Gram Plant Leaf Disease dataset	https://doi.org/10.58190/icat.2023.9 (2023)	https://doi.org/10.1109/ICIT52682.2021.9491783 (2021)	The Black Gram Plant Leaf Disease dataset is used to train and evaluate the EfficientNet-B0 model for the precise identification and classification of various diseases in black gram plant leaves. This dataset enables researchers to develop and test machine learning algorithms that can accurately diagnose leaf diseases, enhancing agricultural management and crop health monitoring.		
citing_context	BPLD	https://doi.org/10.1109/ICCIT60459.2023.10441146 (2023)	https://doi.org/10.58190/icat.2023.9 (2023)	The BPLD dataset is used to evaluate deep learning models for classifying black gram plant leaf diseases, with a focus on assessing model performance and accuracy. This dataset enables researchers to test and compare different deep learning approaches, ensuring robust classification of plant diseases.		
cited_context	BRACOL	https://doi.org/10.1109/ICOSEC54921.2022.9951943 (2022)	https://doi.org/10.1007/978-3-319-24574-4_28 (2015)	The BRACOL dataset is used for image segmentation and classification of coffee leaves to diagnose diseases. Research focuses on evaluating precision, recall, and F1 score, employing methodologies that enhance the accuracy of disease diagnosis through image analysis. This dataset enables researchers to develop and test algorithms that improve the identification and management of plant diseases in coffee crops.		
cited_context	cassava leaf disease dataset	https://doi.org/10.1111/exsy.12746 (2021)	https://www.semanticscholar.org/paper/a6cb366736791bcccc5c8639de5a8f9636bf87e8 (2014)	The cassava leaf disease dataset is used to train neural networks for diagnosing cassava leaf diseases. Specifically, it employs the Adam optimizer with a piecewise learning rate schedule over 10 epochs. This dataset enables researchers to develop and refine machine learning models that can accurately identify various cassava leaf diseases, enhancing agricultural productivity and disease management.		
citing_context	Cassava Leaf Disease Classification dataset	https://doi.org/10.1109/LA-CCI58595.2023.10409445 (2023)		The Cassava Leaf Disease Classification dataset is primarily used to train and evaluate machine learning models for recognizing and diagnosing plant diseases. It focuses on visual symptoms in various plant parts, particularly cassava leaves, but also includes diseases affecting other plant species like mango. The dataset enables researchers to develop and test models that can accurately identify a wide range of plant diseases, enhancing disease management and crop health monitoring.		
citing_context	CCDDB	https://doi.org/10.1117/1.JEI.33.2.023030 (2024)	https://doi.org/10.1007/s11042-022-13925-6 (2022)	The CCDDB dataset is used for image augmentation in plant disease diagnosis, specifically by expanding the dataset through horizontal and vertical flipping. This enhances model training, improving the accuracy and robustness of machine learning models in diagnosing plant diseases. The dataset's ability to generate additional training images through augmentation is a key feature that enables more effective research in this area.		
cited_context	CCL'20	https://doi.org/10.3390/s23208519 (2023)	https://doi.org/10.1016/j.compag.2021.106658 (2022)	The CCL'20 dataset is used to train and evaluate object detection models for early-stage citrus leaf disease prediction. It focuses on achieving high accuracy through detailed annotations, enabling researchers to develop robust models for early disease identification. The dataset's detailed annotations are crucial for enhancing model performance and reliability in detecting specific diseases on citrus leaves.		
cited_context	CIFAR-10	https://doi.org/10.1007/s11042-022-14004-6 (2022)	https://doi.org/10.1109/ACCESS.2018.2844405 (2018)	The CIFAR-10 dataset is primarily used to train and evaluate deep convolutional neural networks for image classification tasks. Specifically, it has been adapted for maize leaf disease identification, where researchers employ the dataset to develop and test models that can accurately classify different types of maize leaf diseases. This adaptation leverages the dataset's diverse image set to enhance model robustness and accuracy in agricultural applications.		
cited_context	citrus dataset	https://doi.org/10.1109/ACCESS.2021.3096895 (2021)	https://www.semanticscholar.org/paper/3e2da7c1c7dfc7960d1515b61f32fdc55359eea7 (2015)	The citrus dataset is used to train and test machine learning models for diagnosing citrus diseases through image recognition, supporting the development of mobile disease diagnostics. It is also utilized to evaluate the performance of KNN algorithms in citrus leaf classification, addressing accuracy discrepancies in previous studies. This dataset enables researchers to improve disease identification and validate machine learning approaches in plant health monitoring.		
citing_context	Citrus 199 Leaves	https://doi.org/10.46604/ijeti.2021.8244 (2021)	https://doi.org/10.1016/j.compag.2017.04.008 (2017)	The 'Citrus 199 Leaves' dataset is used for symptom-based automated detection of citrus diseases. Researchers apply color histogram and textural descriptors in conjunction with machine learning algorithms to achieve high sensitivity in disease identification. This dataset enables the development and validation of models that can accurately diagnose citrus diseases, enhancing early detection and management strategies.		
cited_context	COCO	https://doi.org/10.3390/SYM11070939 (2019)	https://doi.org/10.1007/978-3-319-10602-1_48 (2014)	The COCO dataset is primarily used to evaluate state-of-the-art object detection architectures by establishing performance baselines for common objects in context. It is also utilized to train, validate, and test models for plant disease diagnosis, with data splits of 70% for training, 20% for validation, and 10% for testing. This versatile dataset supports both general object detection and specialized applications in plant health.		
cited_context	dataset collected from a real environment where crop was grown in a university research farm Koont	https://doi.org/10.3389/fpls.2023.1079366 (2023)	https://doi.org/10.3390/APP11114758 (2021)	The dataset from the university research farm Koont is used to train and evaluate YOLO models for detecting pests or diseases in crops. It focuses on real-world conditions and accuracy in a controlled agricultural setting, enabling researchers to assess model performance in practical scenarios.		
citing_context	dataset comprised of 40 images of each class	https://doi.org/10.1109/CISES54857.2022.9844374 (2022)	https://doi.org/10.1109/ICICI.2017.8365305 (2017)	The dataset, comprising 40 images per class, is used to train and evaluate computer vision models for detecting rice leaf diseases. It focuses on texture and color descriptors to develop accurate disease detection algorithms, enabling researchers to enhance the precision of plant disease diagnosis through image analysis.		
cited_context | citing_context	dataset consisting of 54,306 images of diseased and healthy plant leaves	https://doi.org/10.3906/ELK-1809-181 (2019)	https://doi.org/10.3389/fpls.2016.01419 (2016)	The dataset of 54,306 images of diseased and healthy plant leaves is used to train and evaluate deep learning models for image-based plant disease detection. It focuses on distinguishing between diseased and healthy leaves, enabling researchers to develop more accurate diagnostic tools. The large and diverse image set supports robust model training and validation.		
cited_context	dataset containing 609 samples	https://doi.org/10.1109/CVPR.2019.00899 (2019)	https://www.semanticscholar.org/paper/2a6b390610ff9cbc17c4cc00b05c2ce62e3b5352 (2012)	The dataset containing 609 samples is used to train and test artificial neural networks for diagnosing 8 tea insect pests. The focus is on feature selection and improving classification accuracy. This dataset enables researchers to develop and validate models that can accurately identify specific pests, enhancing pest management strategies in tea cultivation.		
citing_context	cotton leaf disease dataset	https://doi.org/10.3390/plants14132082 (2025)	https://doi.org/10.1016/j.dib.2024.110913 (2024)	The cotton leaf disease dataset is used to enhance the detection and classification of seven common cotton diseases. It employs 7000 samples derived from 2137 raw images, facilitating the development and evaluation of machine learning models for accurate disease identification. This dataset supports research aimed at improving the precision and efficiency of cotton disease diagnosis.		
cited_context	crop disease leaves image data set	https://doi.org/10.1109/ACCESS.2021.3052769 (2021)	https://doi.org/10.1016/j.compag.2015.08.027 (2015)	The 'crop disease leaves image data set' is used to verify models for crop disease diagnosis by comparing their performance against state-of-the-art segmentation algorithms. This dataset enables researchers to evaluate and refine diagnostic models, focusing on the accuracy and effectiveness of segmentation techniques in identifying diseased leaf areas.		
cited_context	Cropped-PlantDoc	https://doi.org/10.1145/3371158.3371196 (2019)	https://www.semanticscholar.org/paper/5d90f06bb70a0a3dced62413346235c02b1aa086 (2009)	The Cropped-PlantDoc dataset is used to evaluate the performance of CNN architectures on plant disease diagnosis, specifically focusing on image classification accuracy. It is employed in a specialized agricultural context to assess how effectively these models can diagnose plant diseases from images, enabling researchers to improve the precision and reliability of automated disease detection systems.		
citing_context	cucumber disease dataset	https://doi.org/10.3389/frai.2023.1227950 (2023)	https://doi.org/10.1016/j.compag.2017.04.013 (2017)	The cucumber disease dataset is primarily used to train and validate deep convolutional neural network (DCNN)-based systems for detecting cucumber diseases through symptom segmentation. The dataset includes image transformations for data augmentation, enhancing model robustness. It is typically split into training and validation sets (80:20 or 70:10:20), focusing on identifying common diseases. This approach supports the development of accurate disease recognition models.		
cited_context	Customized 50 Images / 2 Class Controlled Environment Cucumbers Multispectral	https://doi.org/10.1016/j.compag.2021.106125 (2020)	https://doi.org/10.1007/978-3-030-10728-4_11 (2019)	The 'Customized 50 Images / 2 Class Controlled Environment Cucumbers Multispectral' dataset is used to train and evaluate machine learning models for agricultural applications. Specifically, it has been utilized to train a LeNet-based model for citrus pest recognition using RGB images and a U-Net model for cucumber disease segmentation using multispectral images, both in controlled environments. The dataset's controlled conditions and multispectral capabilities enable precise model training and evaluation for these specific tasks.		
cited_context	database containing simulated images of tomato plant leaves	https://doi.org/10.1109/IDCIoT59759.2024.10467525 (2024)	https://doi.org/10.1016/j.compag.2021.106279 (2021)	The dataset of simulated images of tomato plant leaves is used to train and evaluate machine learning models for detecting tomato plant diseases. It focuses on assessing the effectiveness of synthetic data in enhancing model performance, providing a controlled environment to test and refine algorithms without the need for real-world images.		
cited_context	database of 500 images captured from experimental rice fields of Heilongjiang Academy of Land Reclamation Sciences, China	https://doi.org/10.3390/s21144749 (2021)	https://www.semanticscholar.org/paper/995c5f5e62614fcb4d2796ad2faab969da51713e (2015)	The dataset of 500 images from experimental rice fields in Heilongjiang, China, is used to train and evaluate a Convolutional Neural Network (CNN) for classifying 10 different rice diseases. This approach achieves 95% accuracy, highlighting the dataset's utility in developing robust machine learning models for disease classification in rice crops.		
citing_context	database of black star disease, grey-spot disease, cedar rust disease of apples, and good leaves	https://doi.org/10.1109/ICMCSI64620.2025.10883631 (2025)	https://doi.org/10.1109/ICEICT51264.2020.9334214 (2020)	The dataset is used to train and validate models for identifying and categorizing apple leaf diseases, specifically black star, grey-spot, and cedar rust diseases, as well as healthy leaves. This involves employing machine learning methodologies to enhance the accuracy of disease classification, supporting research in automated plant disease diagnosis.		
cited_context	Dataset of images with plants and pests	https://doi.org/10.1088/1757-899X/1032/1/012053 (2021)	https://www.semanticscholar.org/paper/4456fb02346d36bed0152a8bfe32cdcab5e7b943 (2013)	The dataset of images with plants and pests is used to train and evaluate the K-means algorithm for identifying plant pests, focusing on image-based recognition and clustering techniques. This enables researchers to develop and refine methods for automated pest identification, enhancing the accuracy and efficiency of pest management systems.		
cited_context	Deep Nutrient Deﬁciency for Sugar Beet dataset	https://doi.org/10.3390/info12110474 (2021)	https://doi.org/10.3390/sym12071065 (2020)	The Deep Nutrient Deficiency for Sugar Beet dataset is primarily used to identify nutrient deficiency symptoms in sugar beet by training and testing various deep learning models. Despite its name, it has also been utilized in unrelated studies to diagnose apple tree leaf diseases, focusing on disease classification accuracy. The dataset's versatility in deep learning applications highlights its utility in both specific and broader plant health diagnostics.		
cited_context	Deng data set	https://doi.org/10.1016/j.ecoinf.2021.101515 (2021)	https://doi.org/10.1145/3065386 (2012)	The Deng data set is used for pest identification in plant disease diagnosis, employing a CNN with transfer learning using AlexNet to address the challenge of a small dataset size. This approach specifically enhances the accuracy of pest detection, leveraging the pre-trained layers of AlexNet to improve model performance despite limited data.		
