Name (extracted)	Citing Article	Citied Article	Features
14,956 images with 38 distinct classes	https://doi.org/10.32996/jcsts.2023.5.3.6 (2023)	https://doi.org/10.1109/TENCON.2017.8228324 (2017)	The dataset of 14,956 images with 38 distinct classes is primarily used for training and evaluating models focused on plant disease diagnosis and leaf disease detection. Researchers employ various methodologies, including feature extraction and image processing techniques, deep learning architectures like VGGNet and AlexNet, and machine learning algorithms such as Random Forest and SVM. The dataset supports research on improving the accuracy and performance of classification models, particularly in the context of plant health monitoring and disease identification.
PVD	https://doi.org/10.1109/ACCESS.2023.3284760 (2023)	https://doi.org/10.1080/14693062.2022.2085650 (2022)	The PVD dataset is used for evaluating and training machine learning models, specifically CNNs, for diagnosing plant diseases through image analysis. It contains 87,867 photos and has been utilized to test spatially pyramid-oriented and eight-layered CNN methods, achieving high accuracy rates, particularly in diagnosing tomato diseases. The dataset's large size and focus on image-based detection enable robust model training and evaluation.
54306 leaf images	https://doi.org/10.1109/LA-CCI58595.2023.10409445 (2023)	https://doi.org/10.3389/fpls.2016.01419 (2016)	The '54306 leaf images' dataset is used to train and evaluate Convolutional Neural Network (CNN) models for plant disease detection. It focuses on 14 crops and 26 classes, including healthy leaves. This dataset enables researchers to develop and test algorithms that can accurately identify various plant diseases, enhancing agricultural monitoring and management.
PlantCLEF	https://doi.org/10.3389/fpls.2022.983625 (2022)	https://www.semanticscholar.org/paper/396ddce96515e68e9c2e054df6ae8b74a3dcb000 (2015)	The PlantCLEF dataset is used for classifying plant species, specifically in the PlantCLEF 2015 challenge, where deep convolutional neural networks were employed to classify 1,000 plant species. This dataset enables researchers to develop and test advanced machine learning models for plant identification, contributing to biodiversity research and ecological studies.
Cassava Leaf Disease Classification dataset	https://doi.org/10.1109/LA-CCI58595.2023.10409445 (2023)		The Cassava Leaf Disease Classification dataset is primarily used to train and evaluate machine learning models for recognizing and diagnosing plant diseases. It focuses on visual symptoms in various plant parts, particularly cassava leaves, but also includes diseases affecting other plant species like mango. The dataset enables researchers to develop and test models that can accurately identify a wide range of plant diseases, enhancing disease management and crop health monitoring.
Multi-class pest dataset 2018 (MPD2018)	https://doi.org/10.1155/2022/5862600 (2022)	https://doi.org/10.1109/ACCESS.2019.2909522 (2019)	The Multi-class pest dataset 2018 (MPD2018) is used for multi-class pest detection and classification, specifically to identify similar pests across different categories. Researchers employ a Convolutional Neural Network (CNN) model to analyze the dataset, enabling accurate classification of pests. This approach addresses the challenge of distinguishing between visually similar pests, enhancing the precision of pest management strategies.
Sugar beet leaf images dataset	https://doi.org/10.1155/2022/5862600 (2022)	https://doi.org/10.1016/j.physa.2019.122537 (2019)	The Sugar beet leaf images dataset is used to train and evaluate deep learning models, specifically Faster R-CNN and CNN, for detecting and classifying sugar beet leaf diseases and pests. Research focuses on improving disease detection accuracy and addressing challenges in distinguishing similar pests. Image augmentation techniques are applied to enhance model robustness.
Citrus 199 Leaves	https://doi.org/10.46604/ijeti.2021.8244 (2021)	https://doi.org/10.1016/j.compag.2017.04.008 (2017)	The 'Citrus 199 Leaves' dataset is used for symptom-based automated detection of citrus diseases. Researchers apply color histogram and textural descriptors in conjunction with machine learning algorithms to achieve high sensitivity in disease identification. This dataset enables the development and validation of models that can accurately diagnose citrus diseases, enhancing early detection and management strategies.
NLB dataset for maize plant	https://doi.org/10.1186/s12870-024-04825-y (2024)	https://doi.org/10.1002/jsfa.12700 (2023)	The NLB dataset for maize plant is primarily used to train and evaluate machine learning models for detecting Northern Leaf Blight in maize plants. It employs image recognition techniques and high-resolution images to develop accurate diagnostic tools, enabling precise disease identification in agricultural settings. This dataset supports research in plant disease diagnosis across multiple species, enhancing the robustness and applicability of image-based classification methods.
Winter wheat Powdery mildew Hyperspectral reflectance	https://doi.org/10.46604/ijeti.2021.8244 (2021)	https://doi.org/10.1016/J.COMPAG.2012.03.006 (2012)	The Winter wheat Powdery mildew Hyperspectral reflectance dataset is used to detect powdery mildew in winter wheat through leaf-level hyperspectral measurements. Researchers apply multivariate statistical methods such as Multiple Linear Regression (MLR), Partial Least Squares Regression (PLSR), and Fisher's Linear Discriminant Analysis (FLDA) to analyze 32 spectral features, enabling precise disease detection and quantification. This dataset facilitates the development and validation of models for early and accurate identification of powdery mildew, enhancing disease management strategies.
LifeCLEF 2015	https://doi.org/10.46604/ijeti.2021.8244 (2021)	https://doi.org/10.1016/j.neucom.2017.01.018 (2017)	The LifeCLEF 2015 dataset is used to evaluate factors affecting the performance of deep convolutional neural networks (DCNNs) in plant identification tasks. Research focuses on optimizing transfer learning parameters to enhance model accuracy. This dataset enables detailed analysis of how different configurations impact DCNN performance, providing insights into effective methodologies for plant recognition.
5162 images	https://doi.org/10.1109/COMPAS60761.2024.10796774 (2024)	https://doi.org/10.1109/SMARTGENCON56628.2022.10083986 (2022)	The '5162 images' dataset is used to train and evaluate a Convolutional Neural Network (CNN) model for potato leaf disease detection. It classifies leaves into healthy, early blight, and late blight categories, achieving 98.07% accuracy. This dataset enables precise disease classification, supporting research in plant health monitoring and disease management.
database of black star disease, grey-spot disease, cedar rust disease of apples, and good leaves	https://doi.org/10.1109/ICMCSI64620.2025.10883631 (2025)	https://doi.org/10.1109/ICEICT51264.2020.9334214 (2020)	The dataset is used to train and validate models for identifying and categorizing apple leaf diseases, specifically black star, grey-spot, and cedar rust diseases, as well as healthy leaves. This involves employing machine learning methodologies to enhance the accuracy of disease classification, supporting research in automated plant disease diagnosis.
cucumber disease dataset	https://doi.org/10.3389/frai.2023.1227950 (2023)	https://doi.org/10.1016/j.compag.2017.04.013 (2017)	The cucumber disease dataset is primarily used to train and validate deep convolutional neural network (DCNN)-based systems for detecting cucumber diseases through symptom segmentation. The dataset includes image transformations for data augmentation, enhancing model robustness. It is typically split into training and validation sets (80:20 or 70:10:20), focusing on identifying common diseases. This approach supports the development of accurate disease recognition models.
dataset of more than 15000 images of plant leaves	https://doi.org/10.1109/SCEECS64059.2025.10940561 (2025)	https://doi.org/10.14569/ijacsa.2022.0130484 (2022)	The dataset of over 15,000 plant leaf images is used to train VGG-16 neural networks for detecting early signs of plant diseases, achieving an accuracy of 95.2%. This research aims to maximize crop yields by identifying diseases at early stages. The dataset's focus on leaf images supports the development and validation of machine learning models for disease detection.
dataset consisting of 54,306 images of diseased and healthy plant leaves	https://doi.org/10.3906/ELK-1809-181 (2019)	https://doi.org/10.3389/fpls.2016.01419 (2016)	The dataset of 54,306 images of diseased and healthy plant leaves is used to train and evaluate deep learning models for image-based plant disease detection. It focuses on distinguishing between diseased and healthy leaves, enabling researchers to develop more accurate diagnostic tools. The large and diverse image set supports robust model training and validation.
25,000 images of stressed and healthy leaves	https://doi.org/10.32604/iasc.2022.020679 (2022)	https://doi.org/10.1073/pnas.1716999115 (2018)	The dataset of 25,000 images of stressed and healthy leaves is used to train and evaluate deep machine vision models for detecting, classifying, and quantifying various soybean plant stresses. It focuses on image-based phenotyping, enabling researchers to analyze and understand the visual indicators of plant stress conditions. The dataset's large size and diverse range of stress types enhance the robustness and accuracy of the models.
pest data set	https://doi.org/10.3390/plants12010200 (2023)	https://doi.org/10.3390/info12120495 (2021)	The 'pest data set' is used to cluster anchor sizes for pest detection, employing the K-means algorithm. Research focuses on investigating the relationship between K values and mean Intersection over Union (mIoU), optimizing the performance of object detection models. This dataset enables researchers to enhance the accuracy and efficiency of pest detection systems by fine-tuning clustering parameters.
PDD271	https://www.semanticscholar.org/paper/844ec19933556ffa84826fa262ab0070cb45c555 (2022)	https://doi.org/10.1109/CVPR.2018.00745 (2017)	The PDD271 dataset is used to evaluate and compare the performance of state-of-the-art deep network architectures, particularly focusing on enhancing accuracy through the integration with SeNet154. This dataset facilitates research in fine-grained recognition models, enabling detailed analysis and improvement of model performance in plant disease diagnosis.
18,161 plain as well as segmented tomato leaf images	https://doi.org/10.1109/ICSSIT53264.2022.9716233 (2022)	https://doi.org/10.3390/AGRIENGINEERING3020020 (2021)	The dataset of 18,161 plain and segmented tomato leaf images is used to train and evaluate a deep learning framework, specifically EfficientNet, for categorizing tomato diseases. Research focuses on enhancing the accuracy and reliability of disease detection by utilizing both plain and segmented images, thereby improving the robustness of disease classification models.
cotton leaf disease dataset	https://doi.org/10.3390/plants14132082 (2025)	https://doi.org/10.1016/j.dib.2024.110913 (2024)	The cotton leaf disease dataset is used to enhance the detection and classification of seven common cotton diseases. It employs 7000 samples derived from 2137 raw images, facilitating the development and evaluation of machine learning models for accurate disease identification. This dataset supports research aimed at improving the precision and efficiency of cotton disease diagnosis.
DS_apple	https://doi.org/10.34133/plantphenomics.0039 (2023)	https://doi.org/10.1016/J.SWEVO.2018.02.013 (2019)	The DS_apple dataset is primarily used to evaluate optimization algorithms for disease diagnosis and pest detection in various crops, including apples, grapes, coffee, corn, and Chinese chestnuts. It focuses on feature selection and classification performance to enhance diagnostic accuracy. The dataset's versatility in supporting cross-crop analysis makes it valuable for optimizing machine learning models across different plant diseases and pests.
Sentinel-2 MSI imagery	https://doi.org/10.3390/plants14132082 (2025)	https://doi.org/10.3389/fpls.2022.1029529 (2022)	The Sentinel-2 MSI imagery dataset is used to monitor cotton aphids through ratio spectroscopy and a random forest algorithm, achieving 80% classification accuracy in pest detection. This methodology leverages the high-resolution spectral bands of the dataset to identify and classify pest infestations, enabling precise and timely management interventions in agricultural settings.
dataset comprised of 40 images of each class	https://doi.org/10.1109/CISES54857.2022.9844374 (2022)	https://doi.org/10.1109/ICICI.2017.8365305 (2017)	The dataset, comprising 40 images per class, is used to train and evaluate computer vision models for detecting rice leaf diseases. It focuses on texture and color descriptors to develop accurate disease detection algorithms, enabling researchers to enhance the precision of plant disease diagnosis through image analysis.
4000 images of Potato early blight, Tomato early blight, Potato late blight, and Tomato late blight	https://doi.org/10.47839/ijc.22.2.3088 (2023)	https://doi.org/10.1109/ETCCE51779.2020.9350890 (2020)	The dataset of 4000 images of Potato early blight, Tomato early blight, Potato late blight, and Tomato late blight is used to classify plant diseases, specifically focusing on early and late blight in potatoes and tomatoes. It provides a graphical layout for preventive measures, enabling researchers to develop and validate classification models that aid in disease identification and management.
rice-leaf disease dataset from UCI	https://doi.org/10.1109/ICACCTech65084.2024.00028 (2024)	https://doi.org/10.12928/TELKOMNIKA.V19I2.16488 (2020)	The rice-leaf disease dataset from UCI is used to evaluate the performance of an extreme gradient boosting decision tree ensemble, specifically focusing on the accuracy of classifying rice leaf diseases. This dataset enables researchers to assess and improve machine learning models for disease classification, contributing to more effective agricultural management practices.
dataset for three common grape leaf diseases and Mites of grape	https://doi.org/10.1007/978-3-031-06430-2_32 (2022)	https://doi.org/10.3389/fpls.2020.00751 (2020)	The dataset for three common grape leaf diseases and mites is used to train and evaluate deep-learning-based detectors, specifically focusing on real-time detection of grape leaf diseases and pests using improved convolutional neural networks. This enables researchers to develop more accurate and efficient methods for identifying and managing these issues in vineyards.
Apple Orchards diseases	https://doi.org/10.1007/978-3-031-06430-2_32 (2022)	https://doi.org/10.1002/aps3.11390 (2020)	The Apple Orchards diseases dataset is used for disease classification and segmentation, specifically employing a subset of 142 annotated images. Researchers use these detailed annotations to improve the accuracy of disease classification models. The dataset's annotated segmentation features enable more precise training and evaluation of machine learning algorithms focused on identifying and segmenting disease symptoms in apple orchards.
Diyala Pepper	https://doi.org/10.47831/mjpas.v3i1.121 (2025)		The Diyala Pepper dataset is used for diagnosing plant diseases and detecting pests in peppers and fruits. It contains 78 images of both healthy and affected specimens, enabling researchers to develop and test image recognition algorithms for disease and pest identification. This dataset supports the development of accurate diagnostic tools, enhancing agricultural management practices.
National Crop Pest Management System (NCPMS)	https://doi.org/10.3390/s23115032 (2023)	https://doi.org/10.4018/978-1-7998-2108-3.ch008 (2021)	The National Crop Pest Management System (NCPMS) dataset is used to enhance automated crop disease monitoring and management systems by integrating real-time data for diagnosis and treatment prescription. It supports the collection and management of plant disease information, facilitating the training of AI models and integration with IoT systems, thereby improving scalability and system functionality.
Plant and Village Data sets	https://doi.org/10.1109/ICSES60034.2023.10465557 (2023)	https://doi.org/10.1007/s10586-020-03133-y (2020)	The Plant and Village Data sets are used to evaluate various computational methodologies for agricultural applications. Researchers compare the effectiveness and potential uses of these methodologies in the field, focusing on practical agricultural challenges. The dataset enables the assessment of different computational techniques, providing insights into their applicability and performance in real-world scenarios.
tomato leaf dataset	https://doi.org/10.1038/s41598-025-90487-1 (2025)		The tomato leaf dataset is used to evaluate the performance of methods for disease detection, achieving high accuracy rates (98.28% to 99%). It tests the robustness of models in complex background images and plant disease diagnosis contexts, focusing on the reliability of disease identification in varied conditions.
public dataset of 54,305 diseased and healthy plant leaf images	https://doi.org/10.34133/plantphenomics.0054 (2023)	https://doi.org/10.3389/fpls.2016.01419 (2016)	The dataset of 54,305 diseased and healthy plant leaf images is used to train Convolutional Neural Networks (CNNs) for identifying 26 diseases in 14 plant species. Collected under controlled conditions, these high-quality images enable robust machine learning models for accurate disease classification. This approach supports research in automated plant disease diagnosis, enhancing agricultural monitoring and management systems.
Tomato and Brinjal/Eggplant GLCM	https://doi.org/10.32996/jcsts.2023.5.3.6 (2023)	https://doi.org/10.1109/UBMK.2018.8566635 (2018)	The 'Tomato and Brinjal/Eggplant GLCM' dataset is used for plant leaf disease detection and classification. Researchers apply the Gray-Level Co-occurrence Matrix (GLCM) and adaptive neuro-fuzzy inference system to analyze texture features, enabling precise identification and categorization of diseases in tomato and brinjal/eggplant leaves. This methodology enhances the accuracy of disease diagnosis, supporting agricultural health management.
bean leaf diseases dataset	https://doi.org/10.1109/RAEEUCCI57140.2023.10134461 (2023)	https://doi.org/10.1109/ACCESS.2022.3142817 (2022)	The bean leaf diseases dataset is used to classify bean leaf diseases using MobileNet models, focusing on disease identification through deep learning architecture. This dataset enables researchers to develop and test algorithms for accurate disease classification, contributing to the field of plant disease diagnosis.
PlantVillages	https://doi.org/10.31577/cai_2023_6_1378 (2023)		The PlantVillages dataset is used to train machine learning models, such as plantNet, on approximately 20,000 images of healthy and diseased plants. This training focuses on diagnosing plant diseases, enabling researchers to develop and test algorithms that can accurately identify various plant health conditions. The dataset's large and diverse image collection supports robust model training and validation.
Plant Town dataset	https://doi.org/10.1109/ICCAMS60113.2023.10526168 (2023)	https://doi.org/10.48084/ETASR.3452 (2020)	The Plant Town dataset is used for programming the location of plant diseases using various classifiers and modern CNN architectures. It focuses on disease detection in plants, enabling researchers to develop and test algorithms for identifying diseased areas accurately. This dataset supports the advancement of machine learning techniques in agricultural health monitoring.
IPM dataset	https://doi.org/10.1109/ACCESS.2023.3284760 (2023)	https://doi.org/10.1016/J.COMPAG.2018.10.016 (2018)	The IPM dataset is used to evaluate the performance of GoogleNet in detecting plant diseases, focusing on accuracy and F1 scores through spectral feature analysis. This dataset enables researchers to assess machine learning models' effectiveness in disease detection, providing a benchmark for comparing different algorithms.
FGVC8	https://doi.org/10.34133/plantphenomics.0054 (2023)	https://doi.org/10.1002/aps3.11390 (2020)	The FGVC8 dataset is used for classifying foliar diseases in plants, particularly apples, using high-quality RGB images. It supports machine learning models to improve disease recognition accuracy and fine-grained identification across 61 categories of 27 diseases in 10 plant species. This dataset enables researchers to develop and evaluate advanced image-based diagnostic tools for plant health assessment.
60,000 rice leaf photographs	https://doi.org/10.1109/ACCESS.2023.3284760 (2023)	https://doi.org/10.1016/J.COMPAG.2019.03.012 (2019)	The 60,000 rice leaf photographs dataset is used to train the AlexNet model for feature extraction, specifically for diagnosing rice diseases. This dataset enables researchers to achieve high accuracy (96.8%) in disease diagnosis, focusing on the identification and classification of rice leaf diseases through machine learning techniques. The large number of images provides a robust training set for model development.
strawberry dataset	https://doi.org/10.1109/ACCESS.2023.3284760 (2023)	https://doi.org/10.1016/j.compag.2020.105446 (2019)	The strawberry dataset is used to test various neural network models for plant disease detection, specifically focusing on the accuracy and performance of these models in identifying diseases or pests in strawberries. This dataset enables researchers to evaluate and compare different machine learning approaches, enhancing the precision of disease and pest identification in agricultural settings.
dataset of 7046 images	https://doi.org/10.1109/CISES58720.2023.10183522 (2023)	https://doi.org/10.3390/app121910167 (2022)	The dataset of 7046 images is used to train and evaluate deep learning models, specifically YOLO v3, R, and v5, for identifying insect pests. It achieves accuracies ranging from 74.6% to 79.8%. The dataset's diverse range of pest images supports research focused on improving the accuracy and efficiency of pest detection models.
Tomato Late Blight dataset	https://doi.org/10.48129/kjs.v49i1.10586 (2021)		The Tomato Late Blight dataset is used to train and validate neural network models for diagnosing tomato late blight disease. It includes images at two resolutions (32x32 and 64x64 pixels), which are employed to evaluate model performance using metrics such as the Kappa coefficient and loss values. This dataset enables researchers to assess the effectiveness of different neural network architectures in disease diagnosis.
dataset for the categorization of Pinus tree disease	https://doi.org/10.1109/ACCESS.2023.3284760 (2023)	https://doi.org/10.1016/j.asoc.2020.106597 (2020)	The dataset for the categorization of Pinus tree disease is used to develop a UAV-based system for disease classification in Pinus trees. It focuses on image acquisition and employs Bayesian deep learning for accurate disease categorization. This approach enables researchers to enhance the precision and efficiency of disease identification in forestry management.
private and public datasets of tomato leaf images	https://doi.org/10.51983/ajcst-2023.12.2.3735 (2023)	https://doi.org/10.4081/jae.2022.1432 (2022)	The dataset 'private and public datasets of tomato leaf images' is mentioned in research citations but lacks detailed descriptions of its usage. There is no explicit evidence of its application in plant disease diagnosis, pest detection, or any specific methodologies or research questions. The dataset's role and impact in research are not clearly defined based on the provided information.
PestNet	https://doi.org/10.3390/technologies12070101 (2024)	https://doi.org/10.3390/ai4040050 (2023)	The PestNet dataset is used to train and evaluate pest detection models, focusing on high-resolution images of 16 species with 582,170 bounding boxes. It achieves a 75.46% mean Average Precision (mAP), enabling researchers to develop and refine algorithms for accurate pest identification in agricultural settings.
93 images of cucumber downy mildew	https://doi.org/10.1109/ACCESS.2023.3284760 (2023)	https://doi.org/10.1109/ACCESS.2020.3039345 (2020)	The '93 images of cucumber downy mildew' dataset is used to test image segmentation methods for detecting cucumber downy mildew, achieving 97.29% accuracy through morphological processes. This dataset enables researchers to evaluate and refine image processing techniques specifically for identifying downy mildew in cucumbers, contributing to the development of accurate disease detection systems.
dataset of healthy and anthracnose-infected leaves	https://doi.org/10.1109/ICCIT60459.2023.10441146 (2023)	https://www.semanticscholar.org/paper/b74461a923beb76a5fd18f08cae4291bd4ef3127 (2023)	The dataset of healthy and anthracnose-infected leaves is used to train and evaluate a TinyML-based disease detection system. This focuses on optimizing precision, memory, and latency for accurate anthracnose detection in leaves. The dataset enables researchers to develop efficient, resource-constrained models for real-time disease identification.
BPLD	https://doi.org/10.1109/ICCIT60459.2023.10441146 (2023)	https://doi.org/10.58190/icat.2023.9 (2023)	The BPLD dataset is used to evaluate deep learning models for classifying black gram plant leaf diseases, with a focus on assessing model performance and accuracy. This dataset enables researchers to test and compare different deep learning approaches, ensuring robust classification of plant diseases.
An open access repository of images on plant health	https://doi.org/10.25081/ia.2023-04 (2023)	https://www.semanticscholar.org/paper/3e2da7c1c7dfc7960d1515b61f32fdc55359eea7 (2015)	The dataset is used to develop mobile disease diagnostics through machine learning and crowdsourcing, focusing on a wide range of plant diseases such as apple scab and black rot. It enables researchers to train algorithms for accurate disease identification, leveraging a diverse set of high-quality images. This approach enhances the capability of mobile applications to diagnose plant diseases effectively.
PVD 54,306 images	https://doi.org/10.1109/ACCESS.2023.3284760 (2023)	https://doi.org/10.1016/J.JAFR.2021.100154 (2021)	The PVD 54,306 images dataset is used to train and evaluate a fine-tuned VGG16 model for recognizing early blight and late blight diseases on potato leaves. This dataset enables researchers to achieve high accuracy (96%) in disease recognition, facilitating advancements in plant disease diagnosis through machine learning techniques.
apple disease dataset	https://doi.org/10.1109/ACCESS.2023.3284760 (2023)	https://doi.org/10.1016/j.compag.2021.106379 (2021)	The 'apple disease dataset' is used for training and evaluating CNN models to localize diseases in apples, aiming to achieve high mAP scores across multiple disease classes. It also supports data augmentation techniques such as center zoom, random cropping, zooming, and contrast stretching to enhance detection accuracy. This dataset enables researchers to improve the precision and robustness of disease localization models.
PlantV2020	https://doi.org/10.1109/CONECCT55679.2022.9865733 (2022)	https://www.semanticscholar.org/paper/17005a1bd4189707f17d8bef9a0909c9399f7171 (2020)	The PlantV2020 dataset is used to classify foliar diseases of apples through machine learning techniques. This enhances disease diagnosis accuracy and helps reduce crop loss. The dataset's relevance lies in its application for improving agricultural practices by providing a robust foundation for disease classification models.
