Analysis_Source	Name (extracted)	Citing Article	Citied Article	Features	Homepage_URL	__name__	__url__	__url_present__	__trusted__
citing_context	GSE41258	https://doi.org/10.1111/jcmm.70721	https://doi.org/10.1093/BIOSTATISTICS/KXJ037	The GSE41258 dataset is used to validate the expression and prognostic relevance of significantly mutated genes (SMGs) in colorectal cancer. Researchers employ the 'ComBat' algorithm to correct batch effects, ensuring accurate gene expression analysis. This dataset enables the assessment of genetic markers' impact on patient outcomes, contributing to the understanding of colorectal cancer biology and prognosis.		GSE41258		False	False
citing_context	GSE49355	https://doi.org/10.1111/jcmm.70721	https://doi.org/10.1093/BIOSTATISTICS/KXJ037	The GSE49355 dataset is used to validate the expression and prognostic relevance of significantly mutated genes (SMGs) in colorectal cancer. Researchers employ the 'ComBat' algorithm to correct batch effects, ensuring accurate gene expression analysis. This dataset enables the assessment of genetic markers' impact on patient outcomes, contributing to the understanding of colorectal cancer biology and prognosis.		GSE49355		False	False
citing_context	GSE72970	https://doi.org/10.1111/jcmm.70721	https://doi.org/10.1093/BIOSTATISTICS/KXJ037	The GSE72970 dataset is used to validate the expression and prognostic relevance of significantly mutated genes (SMGs) in colorectal cancer. Researchers employ the 'ComBat' algorithm to correct batch effects, ensuring accurate gene expression analysis. This dataset enables the assessment of genetic markers' impact on patient prognosis, contributing to a better understanding of colorectal cancer biology and potential therapeutic targets.		GSE72970		False	False
citing_context	Hallmark dataset	https://doi.org/10.3389/fimmu.2023.1053920	https://doi.org/10.1073/PNAS.0506580102	The Hallmark dataset is mentioned in the citation context but lacks detailed descriptions of its usage, methodology, research questions, or specific characteristics. Therefore, there is insufficient evidence to provide a comprehensive description of how this dataset is actually used in research.		Hallmark dataset		False	False
citing_context	PanglaoDB	https://doi.org/10.1038/s41597-024-04323-8	https://doi.org/10.1093/database/baz046	PanglaoDB is used to annotate marker genes in single-cell RNA sequencing data, specifically for identifying and characterizing major cell types such as Hepatocytes and T cells in the context of colorectal liver metastases. This dataset provides essential marker genes, enabling precise cell type annotation and facilitating the detailed analysis of cellular composition in diseased liver tissues.		PanglaoDB		False	False
citing_context	single cell RNA sequencing data of primary colon tumors	https://doi.org/10.3389/fimmu.2023.1053920	https://doi.org/10.1038/nm.3967	The single cell RNA sequencing data of primary colon tumors is used to study CAF (cancer-associated fibroblast) phenotypes in human colon cancer. Specifically, the dataset compares mono-culture and co-culture conditions to CAF subpopulations in CMS1 and CMS4 tumors, providing insights into the heterogeneity and functional roles of CAFs in these tumor subtypes. This approach enables researchers to understand the complex interactions within the tumor microenvironment and identify potential therapeutic targets.		single cell RNA sequencing data of primary colon tumors		False	False
cited_context	single human cells from healthy and cirrhotic human liver	https://doi.org/10.7150/thno.72853	https://doi.org/10.1038/s41586-019-1631-3	The dataset of single human cells from healthy and cirrhotic human liver is used to profile the transcriptomes of over 100,000 cells, providing molecular definitions for non-parenchymal cell types. This enables researchers to understand the role of cancer-associated fibroblasts (CAFs) in colorectal cancer liver metastases (CRC-LM). The dataset's large scale and detailed molecular characterization facilitate insights into cellular heterogeneity and disease mechanisms.		single human cells from healthy and cirrhotic human liver		False	False
cited_context	single-cell atlas of colorectal liver metastases	https://doi.org/10.7150/thno.72853	https://doi.org/10.1038/s41586-019-1631-3	The single-cell atlas of colorectal liver metastases is used to profile the transcriptomes of over 100,000 single human cells in both healthy and cirrhotic livers. This dataset identifies specific cell populations and their roles in fibrosis, providing insights relevant to understanding the cellular mechanisms of colorectal liver metastases (CRLM). The high-resolution single-cell RNA sequencing data enable researchers to dissect the complex cellular interactions and identify potential therapeutic targets in CRLM.		single-cell atlas of colorectal liver metastases		False	False
cited_context	single-cell transcriptome atlas	https://doi.org/10.7150/thno.72853	https://doi.org/10.1038/s41586-019-1631-3	The 'single-cell transcriptome atlas' dataset is mentioned in the citation context but lacks detailed descriptions of its usage, methodology, research questions, or specific applications. Therefore, based on the provided information, there is insufficient evidence to describe how this dataset is actually used in research.		single-cell transcriptome atlas		False	False
citing_context	TCGA	https://doi.org/10.7150/thno.111625	https://doi.org/10.1101/2020.12.14.422647	The TCGA dataset is used to assess hypoxia and stemness scores in colorectal liver metastases (CRLM) patients, focusing on correlations with SFRP1 expression and epithelial-mesenchymal transition (EMT). This involves analyzing gene expression data to understand the molecular mechanisms underlying these conditions, enabling researchers to explore potential biomarkers and therapeutic targets.		TCGA		False	False
citing_context	TCGA colorectal cancer samples	https://doi.org/10.1038/s41598-025-97667-z	https://doi.org/10.1038/s41571-020-0410-2	The TCGA colorectal cancer samples dataset is used to investigate gene expression differences between cancer and normal tissues, specifically through the comparison of GSVA of ROS. This methodology helps researchers understand the molecular mechanisms underlying colorectal cancer, focusing on oxidative stress-related pathways. The dataset's comprehensive gene expression profiles enable detailed comparisons and insights into cancer biology.		TCGA colorectal cancer samples		False	False
cited_context	The Cancer Genome Atlas	https://doi.org/10.1084/jem.20191847	https://doi.org/10.1016/j.cell.2019.10.003	The Cancer Genome Atlas is used to analyze the association between C1QA+ TAM-like macrophage gene signatures and patient prognosis in colorectal liver metastases. Researchers employ gene expression data and clinical outcomes from the dataset to identify prognostic biomarkers and understand immune cell dynamics in cancer progression. This enables more precise risk stratification and therapeutic targeting in clinical settings.		The Cancer Genome Atlas		False	False
citing_context	TISCH2	https://doi.org/10.1111/jcmm.70721	https://doi.org/10.1093/nar/gkaa1020	The TISCH2 dataset is used to analyze single-cell RNA sequencing data from colorectal cancer, with a focus on the tumor microenvironment (TME). It integrates single-cell transcriptomic profiles from multiple cancer types, facilitating comprehensive exploration of the TME. This integration enables researchers to address specific questions related to the cellular composition and interactions within the tumor microenvironment, enhancing understanding of cancer biology.		TISCH2		False	False
