Name (extracted)	Citing Article	Citied Article	Features
OK-VQA	https://doi.org/10.1109/TKDE.2022.3224228 (2022), https://doi.org/10.1109/TNNLS.2020.3045034 (2020), https://doi.org/10.18653/v1/2020.findings-emnlp.44 (2020)	https://doi.org/10.1109/CVPR.2019.00331 (2019)	The OK-VQA dataset is used to evaluate multi-modal reasoning in visual question answering, particularly for open-ended and complex queries that require external knowledge. It focuses on integrating visual and textual information to test the reasoning capabilities of VQA models, emphasizing the need for external knowledge to answer questions. The dataset benchmarks systems on their ability to integrate and reason about both visual and non-visual information, capturing relationships among entities and their mentions in images.
DB15K	https://doi.org/10.1609/aaai.v39i12.33454 (2024), https://doi.org/10.1145/3545573 (2022), https://doi.org/10.48550/arXiv.2310.06365 (2023)	https://doi.org/10.1007/978-3-030-21348-0_30 (2019)	The DB15K dataset is primarily used in multi-modal knowledge graph reasoning research, specifically for evaluating and enhancing model performance in tasks such as cross-modal entity alignment and relation prediction. It is often used alongside other datasets like FB15K and YAGO15K, with splits of 2:8, 5:5, and 8:2 for training and testing. The dataset facilitates the assessment of state-of-the-art methods, focusing on metrics like MRR, Hit@1, Hit@3, and Hit@10, and is also used to measure computational efficiency on a single GPU. It supports the selection of diverse entity categories (e.g., artist, city, organization, country) for constructing robust multi-modal knowledge graphs.
KVQA	https://doi.org/10.1109/TKDE.2022.3224228 (2022), https://doi.org/10.1609/aaai.v33i01.33018876 (2019)	https://doi.org/10.1109/CVPR.2017.215 (2016)	The KVQA dataset is primarily used for visual question answering (VQA) research, focusing on integrating visual data with structured knowledge graphs. It evaluates and trains models on their ability to reason about complex visual content using external knowledge, specifically designed to challenge state-of-the-art methods in multi-modal reasoning. The dataset captures relationships among mentions and entities, enabling researchers to study VQA over knowledge graphs and assess the integration of world knowledge with visual data.
FBDB15K	https://doi.org/10.1145/3581783.3611786 (2022)	https://www.semanticscholar.org/paper/eb42cf88027de515750f230b23b1a057dc782108 (2014)	The FBDB15K dataset is used for multi-modal knowledge graph reasoning, particularly focusing on entity alignment with vision features. It employs the VGG-16 vision encoder and 4096-dimensional vision features to evaluate and demonstrate model stability in integrating visual and textual data within knowledge graphs. This dataset enables researchers to assess the effectiveness of vision encoders in enhancing multi-modal reasoning tasks.
FBYG15K	https://doi.org/10.1145/3581783.3611786 (2022)	https://www.semanticscholar.org/paper/eb42cf88027de515750f230b23b1a057dc782108 (2014)	The FBYG15K dataset is used for multi-modal knowledge graph reasoning, particularly focusing on entity alignment with vision features. It employs the VGG-16 vision encoder and 4096-dimensional vision features to evaluate and demonstrate model stability in integrating visual and textual data. This dataset enables researchers to assess the effectiveness of vision encoders in enhancing multi-modal knowledge graph reasoning tasks.
MMEKG	https://doi.org/10.1109/TKDE.2022.3224228 (2022), https://doi.org/10.18653/v1/2022.acl-demo.23 (2022)	https://doi.org/10.1016/j.inffus.2021.05.015 (2021)	The MMEKG dataset is used to represent and integrate multi-modal events into a knowledge graph, facilitating universal representation across diverse data types and modalities. It advances the field of event knowledge graphs by providing a large-scale ontology with 990,000 concept events and 644 relation types, enabling comprehensive coverage of real-world happenings. This dataset supports research in creating more robust and versatile knowledge graphs.
WordNet	https://doi.org/10.18653/v1/2022.acl-demo.23 (2022), https://doi.org/10.1007/978-3-030-58592-1_36 (2020), https://doi.org/10.1109/TKDE.2022.3224228 (2022)	https://www.semanticscholar.org/paper/d53bcbac7ea19173e95d3bd855b998fab765737d (1998)	WordNet is used to enhance semantic understanding and reasoning in multi-modal knowledge graphs by providing a rich lexical database. It initializes node representations and ontology, compiles SimilarTo edges, and enhances scene graph generation and event classification through its hierarchical structure and external commonsense knowledge. This enriches the complexity and performance of models in these tasks.
VQA	https://doi.org/10.1109/TKDE.2022.3224228 (2022), https://doi.org/10.48550/arXiv.2406.02030 (2024), https://doi.org/10.1609/aaai.v33i01.33018876 (2019)	https://doi.org/10.1007/s11263-016-0981-7 (2016)	The VQA dataset is primarily used for visual question answering, focusing on image-text pairs to test and enhance multimodal reasoning capabilities. It is employed to train and evaluate models on tasks that require reasoning about images and textual questions. The dataset is also used to construct and pretrain models on MMKG-grounded datasets by matching VQA instances with corresponding MMKGs derived from scene graphs, which helps in capturing relationships among mentions and entities in images.
CLEVR	https://doi.org/10.1109/TNNLS.2020.3045034 (2020), https://doi.org/10.1609/aaai.v33i01.33018876 (2019)	https://doi.org/10.1109/CVPR.2017.215 (2016)	The CLEVR dataset is primarily used to evaluate compositional reasoning abilities, focusing on visual and linguistic understanding. It assesses models' capabilities in visual question answering, particularly in understanding complex queries involving multiple objects and attributes. The dataset is designed to test elementary visual reasoning and compositional language skills in a controlled environment, enabling researchers to evaluate and improve knowledge graph reasoning models.
GQA	https://doi.org/10.1109/TKDE.2022.3224228 (2022), https://doi.org/10.1109/TNNLS.2020.3045034 (2020)	https://doi.org/10.1109/CVPR.2019.00331 (2019)	The GQA dataset is used to test and enhance models' abilities in multi-modal reasoning, specifically focusing on visual scene understanding and compositional question answering. It evaluates how well models can integrate visual and textual information to reason about complex queries and ground answers in context. The dataset captures relationships among entities in images, providing rich knowledge about named entities and their interactions, which is crucial for grounded question answering and visual reasoning tasks.
FB-IMG-TXT	https://doi.org/10.1109/ICDE55515.2023.00015 (2022), https://doi.org/10.48550/arXiv.2212.05767 (2022)	https://doi.org/10.18653/v1/S18-2027 (2018)	The FB-IMG-TXT dataset is used for multimodal knowledge graph representation learning, combining textual descriptions and images. It supports tasks such as multimodal translation-based representation learning and enhancing data diversity by integrating visual and textual information. The dataset features 100 images per entity and sets the embedding dimension for image features to 128, aiding in the comparison of sparsity and complexity in multimodal knowledge graphs.
Flickr30k	https://doi.org/10.1109/TKDE.2022.3224228 (2022)	https://doi.org/10.18653/v1/2020.acl-demos.11 (2020)	The Flickr30k dataset is primarily used for evaluating and training multi-modal systems, specifically in visual grounding and image-text matching. It supports fine-grained multimedia knowledge extraction and aligns textual descriptions with corresponding images. The dataset's image-text pairs enable researchers to assess the accuracy of these alignments and train detectors for multi-modal reasoning tasks.
MMKG	https://doi.org/10.1109/ACCESS.2019.2933370 (2019), https://doi.org/10.1109/TKDE.2022.3224228 (2022), https://doi.org/10.1109/TKDE.2024.3352100 (2023)	https://doi.org/10.1145/3340531.3417439 (2020)	The MMKG dataset is used to enhance retrieval capabilities for deep learning papers and codes, generate a metallic materials knowledge graph by integrating structured data from DBpedia and Wikipedia, and incorporate both text and image information into knowledge graphs for multi-modal reasoning tasks. This dataset supports research in improving search functionalities and integrating diverse data types for enhanced knowledge representation and reasoning.
hasPart KB	https://doi.org/10.1109/TKDE.2022.3224228 (2022)	https://doi.org/10.1023/B:BTTJ.0000047600.45421.6D (2004)	The 'hasPart KB' dataset is used to provide hasPart triples, which contribute to the construction of knowledge graphs for open-domain Visual Question Answering (VQA). It offers part-whole relationships, aiding in the understanding of complex objects and their components. This dataset enhances VQA systems by integrating explicit knowledge, improving the accuracy and depth of answers.
VCR	https://www.semanticscholar.org/paper/ef318e7ff0883e72d853c75736d20cc123b556d5 (2019), https://doi.org/10.1109/TNNLS.2020.3045034 (2020), https://doi.org/10.48550/arXiv.2205.11501 (2022)	https://doi.org/10.1109/CVPR.2019.00688 (2018)	The VCR dataset is primarily used to evaluate and fine-tune models for visual commonsense reasoning, focusing on understanding and explaining visual scenes. It supports extensive experiments and validation of state-of-the-art models on multiple-choice QA tasks derived from 110k movie scenes, emphasizing implicit visual-linguistic representations and downstream applications.
AWA2-KG	https://doi.org/10.48550/arXiv.2207.01328 (2022)	https://doi.org/10.1145/3442381.3450042 (2021)	The AWA2-KG dataset is primarily used for evaluating and validating models in zero-shot learning tasks, particularly focusing on knowledge graph-based approaches. It provides triples for prompting in ontology-enhanced zero-shot learning, emphasizing relations between classes, entities, and their attributes. This dataset facilitates the assessment of model performance in handling ontology-enhanced attributes and supports the development of flexible systems capable of reasoning with limited data.
DBpedia50	https://doi.org/10.1109/TPAMI.2024.3417451 (2022), https://doi.org/10.48550/arXiv.2212.05767 (2022)	https://doi.org/10.1609/aaai.v32i1.11535 (2017)	The DBpedia50 dataset is used for knowledge graph completion, specifically focusing on entity linking and relation prediction within a smaller subset of DBpedia. It is employed to evaluate and validate knowledge graph completion methods, enabling efficient testing and validation on smaller-scale entity sets. This dataset facilitates research by providing a manageable yet representative sample for these tasks.
DBpedia500	https://doi.org/10.1109/TPAMI.2024.3417451 (2022), https://doi.org/10.48550/arXiv.2212.05767 (2022)	https://doi.org/10.1609/aaai.v32i1.11535 (2017)	The DBpedia500 dataset is used for evaluating and assessing the performance and robustness of knowledge graph completion models. It focuses on scalability and model performance on a moderately sized dataset, enabling researchers to test the effectiveness of knowledge graph embedding techniques in a controlled yet challenging environment.
DB100K	https://doi.org/10.1109/TPAMI.2024.3417451 (2022), https://doi.org/10.48550/arXiv.2212.05767 (2022)	https://doi.org/10.1609/aaai.v32i1.11535 (2017)	The DB100K dataset is used for testing the scalability and robustness of knowledge graph embedding and reasoning algorithms. It provides a larger dataset to evaluate how well these models generalize and perform under increased data volume, focusing on the capabilities of algorithms to handle and reason over extensive knowledge graphs.
MMEA datasets	https://doi.org/10.48550/arXiv.2307.16210 (2023)	https://www.semanticscholar.org/paper/6f870f7f02a8c59c3e23f407f3ef00dd1dcf8fc4 (2021)	The MMEA datasets are used to evaluate multi-modal entity alignment methods, addressing the challenges of aligning entities across different modalities in knowledge graphs. They are also employed to assess model performance across bilingual, monolingual, and high-degree categories using pre-trained visual encoders such as ResNet-152 and CLIP, in both standard and iterative settings. This enables researchers to compare and refine alignment techniques and model effectiveness in multi-modal contexts.
Multi-OpenEA	https://doi.org/10.48550/arXiv.2307.16210 (2023)	https://www.semanticscholar.org/paper/6f870f7f02a8c59c3e23f407f3ef00dd1dcf8fc4 (2021)	The Multi-OpenEA dataset is used to evaluate and demonstrate model stability with the CLIP vision encoder, specifically focusing on the vision feature dimension of 512. This dataset enables researchers to assess how changes in vision feature dimensions impact model performance, providing insights into the robustness and reliability of models in multi-modal settings.
WN9-IMG-TXT	https://doi.org/10.1109/ICDE55515.2023.00015 (2022)	https://doi.org/10.18653/v1/S18-2027 (2018)	The WN9-IMG-TXT dataset is used in multimodal knowledge graph representation learning, specifically to integrate visual and textual information. It sets the embedding dimension for image features to 4096 and provides 10 images per entity. The dataset enhances data diversity by adding textual descriptions and images, and serves as a benchmark to compare with FB-IMG-TXT, highlighting differences in sparsity and complexity.
IMDB	https://doi.org/10.1109/ACCESS.2019.2933370 (2019), https://doi.org/10.1007/978-3-030-21348-0_30 (2019)	https://doi.org/10.1093/nar/gkv1075 (2015)	The IMDB dataset is used as a domain-specific knowledge graph to provide structured information about movies, actors, and directors. It is employed to evaluate entity matching approaches, focusing on linking entities across different knowledge bases. This enables researchers to enhance the accuracy and efficiency of data integration and knowledge base alignment methods.
NUS-WIDE	https://doi.org/10.1109/TKDE.2022.3224228 (2022), https://doi.org/10.1109/CVPR.2018.00170 (2017)	https://doi.org/10.1007/978-3-319-10602-1_48 (2014)	The NUS-WIDE dataset is primarily used for evaluating models in multi-label image annotation and retrieval, enhancing reasoning capabilities through scene graph construction, and disambiguating concepts in multi-modal data. It focuses on a large-scale web image dataset with multiple labels per image, enabling researchers to assess model performance in complex, real-world scenarios.
Babel-Net	https://doi.org/10.1109/ACCESS.2019.2933370 (2019), https://doi.org/10.1109/TKDE.2022.3224228 (2022)	https://doi.org/10.1023/B:BTTJ.0000047600.45421.6D (2004)	Babel-Net is used to build a multilingual knowledge graph, serving as a large-scale lexicalized semantic network. It provides lexical knowledge and supports the creation of multilingual resources. While listed as an example of a knowledge graph, it is not specifically used for multi-modal Knowledge Graph Reasoning research. Its extensive lexical coverage and multilingual capabilities enable the development of comprehensive semantic networks.
FB15k-237-sparse	https://doi.org/10.1145/3308558.3313612 (2019)	https://doi.org/10.18653/v1/W15-4007 (2015)	The FB15k-237-sparse dataset is used to evaluate and train multi-modal knowledge graph reasoning methods, particularly focusing on the sparse subset of the filtered Freebase knowledge graph. It is utilized to assess the performance of models like IterE+axioms, emphasizing the impact of deductive capabilities. The dataset supports hyperparameter tuning, including embedding dimensions and learning rate, and is used for training and validation with a maximum of 10 iterations.
FB15K-YG15K	https://doi.org/10.1145/3534678.3539244 (2022)	https://doi.org/10.1007/978-3-030-55130-8_12 (2020)	The FB15K-YG15K dataset is used for evaluating entity alignment methods in multi-modal knowledge graph reasoning. It focuses on aligning entities across different modalities, using 20% alignment seeds to assess the effectiveness of these methods. This dataset enables researchers to test and improve algorithms designed for cross-modal entity alignment in knowledge graphs.
FB13	https://doi.org/10.48550/arXiv.2212.05767 (2022), https://doi.org/10.1109/TPAMI.2024.3417451 (2022)	https://doi.org/10.1609/aaai.v32i1.11535 (2017)	The FB13 dataset is used to train and evaluate knowledge graph completion models, focusing on a smaller subset of Freebase entities and relations. It is employed in evaluating knowledge graph reasoning methods, particularly for entity linking and relation prediction tasks. This dataset enables researchers to assess the performance of models in these specific areas, providing a benchmark for comparing different approaches.
FB122	https://doi.org/10.48550/arXiv.2212.05767 (2022), https://doi.org/10.1109/TPAMI.2024.3417451 (2022)	https://doi.org/10.1609/aaai.v32i1.11535 (2017)	The FB122 dataset is used to train and evaluate knowledge graph completion models, focusing on a larger subset of Freebase entities and relations. It is also employed for evaluating knowledge graph reasoning methods, particularly in entity linking and relation prediction tasks. This dataset enables researchers to assess the performance of models in predicting missing links and relationships within complex knowledge graphs.
FB24k	https://doi.org/10.48550/arXiv.2212.05767 (2022), https://doi.org/10.1109/TPAMI.2024.3417451 (2022)	https://doi.org/10.1609/aaai.v32i1.11535 (2017)	The FB24k dataset is used to train and evaluate knowledge graph completion models, specifically focusing on entity linking and relation prediction tasks within a subset of the Freebase dataset. It enables researchers to assess the performance of knowledge graph reasoning methods by providing a structured set of entities and relations, facilitating the development and testing of algorithms designed to predict missing links and relationships.
FB20k	https://doi.org/10.48550/arXiv.2212.05767 (2022), https://doi.org/10.1109/TPAMI.2024.3417451 (2022)	https://doi.org/10.1609/aaai.v32i1.11535 (2017)	The FB20k dataset is used to train and evaluate knowledge graph completion models, focusing on a larger subset of Freebase entities and relations. It is also employed for evaluating knowledge graph reasoning methods, particularly in entity linking and relation prediction tasks. This dataset enables researchers to assess the performance of models in predicting missing links and relationships within complex knowledge graphs.
FB5M	https://doi.org/10.48550/arXiv.2212.05767 (2022), https://doi.org/10.1109/TPAMI.2024.3417451 (2022)	https://doi.org/10.1609/aaai.v32i1.11535 (2017)	The FB5M dataset is used to train and evaluate knowledge graph completion models, focusing on a large subset of Freebase entities and relations. It is employed in evaluating knowledge graph reasoning methods, particularly for entity linking and relation prediction tasks. This dataset enables researchers to assess the performance of models in predicting missing links and relationships within extensive knowledge graphs.
FB60k-NYT10	https://doi.org/10.48550/arXiv.2212.05767 (2022), https://doi.org/10.1109/TPAMI.2024.3417451 (2022)	https://doi.org/10.1609/aaai.v32i1.11535 (2017)	The FB60k-NYT10 dataset is used to train and evaluate knowledge graph completion models, specifically focusing on entity linking and relation prediction tasks. It combines Freebase entities with New York Times articles to create a multimodal dataset, enabling researchers to assess the performance of knowledge graph reasoning methods in a rich, real-world context.
FB15K-YAGO15K	https://doi.org/10.1145/3581783.3611786 (2022), https://doi.org/10.1609/aaai.v38i8.28762 (2024)	https://doi.org/10.1007/978-3-030-55130-8_12 (2020)	The FB15K-YAGO15K dataset is used for evaluating and training entity alignment in multi-modal knowledge graphs, particularly focusing on cross-KG entity matching and alignment accuracy. It supports monolingual experiments within the MMKG framework, enabling researchers to assess the impact of varying proportions of reference entity alignment pairs on model performance. This dataset facilitates the development and testing of methods for improving the accuracy and robustness of entity alignment in multi-modal settings.
imSitu	https://doi.org/10.18653/v1/2022.acl-demo.23 (2022)	https://www.semanticscholar.org/paper/d53bcbac7ea19173e95d3bd855b998fab765737d (1998)	The imSitu dataset is used to enhance multi-modal knowledge graphs by incorporating situation recognition and visual semantic role labeling. It enriches the visual ontology through the alignment of WordNet synsets to annotated frames, thereby improving the semantic representation of visual scenes. This methodology supports research in extending and refining visual ontologies, enabling more nuanced understanding and interpretation of visual data.
ASER	https://doi.org/10.18653/v1/2022.acl-demo.23 (2022), https://doi.org/10.1145/3573201 (2022), https://doi.org/10.1109/TKDE.2024.3352100 (2023)	https://doi.org/10.1145/3366423.3380107 (2019)	The ASER dataset is used to construct large-scale, multi-modal knowledge graphs by leveraging defined patterns and an automatic pipeline, focusing on scalable graph construction. It is also utilized to study causal relationships between events, enhancing commonsense reasoning through graph-based methods. ASER is noted for being the largest knowledge graph with eventualities as semantic units and relations as edges, though specific research applications beyond these areas are not detailed.
WordNetGraph	https://doi.org/10.1109/ACCESS.2019.2933370 (2019)	https://www.semanticscholar.org/paper/25cd421e0f999ef8151b02fe6c7660e059a898ce (2018)	The WordNetGraph dataset is used to construct knowledge graphs by enhancing semantic relationships between words and automatically labeling terms defined by natural language. This enhances interpretability in text entailment recognition. The dataset's focus on semantic relationships and natural language labels supports research in improving the accuracy and understanding of textual data.
PropBank	https://doi.org/10.1145/3573201 (2022)	https://www.semanticscholar.org/paper/255d6867cb5c57810c909d5e488c9ae86e0d6d3e (2004)	The PropBank dataset is used to enhance event knowledge graphs by providing an annotated corpus of semantic roles, which enriches the representation of verb-based events. It contributes 112,917 events to the dataset, extending its size and improving the granularity and detail of event-related information. This enables more comprehensive and nuanced research in areas such as natural language processing and semantic analysis.
NomBank	https://doi.org/10.1145/3573201 (2022)	https://www.semanticscholar.org/paper/255d6867cb5c57810c909d5e488c9ae86e0d6d3e (2004)	NomBank is used to extend the size of event knowledge graphs by providing an annotated corpus of nominal predicate argument structures, specifically enhancing the representation of noun-based events. It contributes 114,576 events to the dataset, enriching the graph's content and improving the modeling of complex event relationships.
Knowledge Vault	https://doi.org/10.1109/ACCESS.2019.2933370 (2019)	https://doi.org/10.1093/nar/gkv1075 (2015)	The Knowledge Vault dataset is used as a large-scale knowledge graph to integrate diverse sources of information, supporting comprehensive knowledge representation. It enables researchers to aggregate and unify data from various sources, facilitating the creation of a more holistic and interconnected knowledge base. This integration supports research requiring extensive and multifaceted information, enhancing the depth and breadth of knowledge available for analysis.
Microsoft Concept Graph	https://doi.org/10.1109/ACCESS.2019.2933370 (2019)	https://doi.org/10.1093/nar/gkv1075 (2015)	The Microsoft Concept Graph is used as a general knowledge graph to represent and categorize concepts and their relationships. It aids in text understanding and classification by providing structured information that enhances the interpretation and categorization of textual data. This dataset enables researchers to improve the accuracy and depth of text analysis through its comprehensive representation of concept relationships.
