Name (extracted)	Citing Article	Citied Article	Features
ICDAR 2013 Handwriting Segmentation Contest	https://doi.org/10.1109/ICFHR-2018.2018.00085 (2018)	https://doi.org/10.1109/ICDAR.2007.127 (2007)	The ICDAR 2013 Handwriting Segmentation Contest dataset is used to evaluate and test the accuracy of line segmentation methods in historical documents. Research focuses on extracting and segmenting text lines, employing methodologies that assess the precision of these techniques. This dataset enables researchers to benchmark and improve algorithms for text line segmentation in historical handwriting.
ICDAR 2013 competition corpus	https://doi.org/10.1109/icfhr-2018.2018.00069 (2018)	https://www.semanticscholar.org/paper/cfefb046907c9a4719cfa351354b0c7c4e6d3ed7	The ICDAR 2013 competition corpus is used to evaluate text line segmentation algorithms, particularly in the context of historical documents. Researchers focus on performance metrics and comparative analysis with other methods from the competition. This dataset enables rigorous testing and benchmarking of segmentation techniques, facilitating advancements in the field by providing a standardized evaluation framework.
Diva-HisBD	https://doi.org/10.1109/ICPR56361.2022.9956617 (2022)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The Diva-HisBD dataset is used to evaluate metrics for text line segmentation in historical documents, particularly focusing on layout analysis for challenging medieval manuscripts. Researchers employ this dataset to assess the accuracy and effectiveness of segmentation algorithms, addressing the complexities of medieval layouts. This dataset enables rigorous testing and comparison of different segmentation methods, enhancing the precision of text line extraction in historical document analysis.
PRHLT-17	https://doi.org/10.1109/icfhr-2018.2018.00069 (2018)	https://doi.org/10.1145/3103010.3121037 (2017)	The PRHLT-17 dataset is used for training and evaluating baseline detection algorithms on Arabic handwritten documents, specifically to improve the accuracy of text line segmentation. This dataset enables researchers to develop and test algorithms that enhance the precision of segmenting text lines in historical Arabic documents, addressing the challenge of accurately isolating individual lines of text.
ICDAR 2017 competition	https://doi.org/10.1109/ICPR56361.2022.9956617 (2022)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The ICDAR 2017 competition dataset is used to evaluate text line segmentation algorithms on medieval manuscripts, addressing layout analysis challenges. Researchers employ this dataset to assess algorithm performance using a private test set of 30 pages (875 lines), focusing on the accuracy and robustness of segmentation techniques in historical documents.
ICDAR2009	https://doi.org/10.1109/ICFHR-2018.2018.00072 (2018)	https://doi.org/10.1109/ICDAR.2007.127 (2007)	The ICDAR2009 dataset is used to evaluate the performance of handwriting segmentation approaches, specifically focusing on text line segmentation accuracy in historical documents. Researchers employ this dataset to assess and compare the effectiveness of their methods in accurately segmenting text lines, which is crucial for improving the readability and accessibility of historical texts.
ICDAR2013	https://doi.org/10.1109/ICFHR-2018.2018.00072 (2018)	https://doi.org/10.1109/ICDAR.2007.127 (2007)	The ICDAR2013 dataset is used to evaluate the performance of handwriting segmentation approaches, specifically focusing on text line segmentation accuracy in historical documents. Researchers employ this dataset to assess and compare the effectiveness of their methods in accurately segmenting text lines, which is crucial for improving the readability and accessibility of historical texts.
BALSAC Population Database	https://doi.org/10.1007/s10032-022-00395-7 (2022)	https://doi.org/10.51964/HLCS9299 (2020)	The BALSAC Population Database is used to study text line segmentation in historical documents, focusing on 913 images of birth, marriage, and death records from 74 Québécois registers. This dataset enables researchers to develop and test algorithms for accurately segmenting lines in these historical documents, enhancing the digitization and accessibility of archival records.
three medieval manuscripts	https://doi.org/10.1109/ICDAR.2019.00194 (2019)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The 'three medieval manuscripts' dataset is used to evaluate layout analysis methods, particularly in manuscripts with high complexity in layout and structure. Researchers focus on assessing the effectiveness of these methods in accurately analyzing and understanding the intricate design elements of medieval documents. This dataset enables the testing and refinement of computational tools designed to handle the unique challenges posed by historical texts.
HTR-DocR	https://doi.org/10.1109/ICDAR.2019.00088 (2019)	https://doi.org/10.1109/DAS.2014.58 (2014)	The HTR-DocR dataset is used to evaluate the accuracy of document region segmentation algorithms, particularly in the context of historical documents. Researchers employ this dataset to assess how well these algorithms can segment different regions within documents, which is crucial for improving the precision of historical document analysis. The dataset's focus on historical documents makes it valuable for enhancing the reliability of segmentation techniques in this specific domain.
IAM database	https://doi.org/10.1007/s10032-006-0023-z (2007)	https://doi.org/10.1109/ICDAR.1999.791885 (1999)	The IAM database is used to provide material for developing methods focused on handwritten page segmentation, particularly for text line segmentation in historical documents. This dataset enables researchers to test and refine algorithms designed to accurately segment lines of text in handwritten pages, enhancing the processing and analysis of historical documents.
ANT dataset	https://doi.org/10.1109/SSD49366.2020.9364163 (2020)	https://doi.org/10.1109/ICDAR.2019.00066 (2019)	The ANT dataset is used to evaluate the accuracy and robustness of text line segmentation methods in historical document images. Researchers employ this dataset to test their algorithms, focusing on how well they can segment lines of text. This enables the assessment of new techniques in historical document analysis, ensuring they meet high standards of performance.
cBaD 2017	https://doi.org/10.3390/jimaging10030065 (2024)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The cBaD 2017 dataset is used for training and evaluating deep learning models such as Mask-RCNN and U-Net, specifically for baseline detection in historical documents. This dataset enables researchers to improve the accuracy of text line segmentation, enhancing the readability and accessibility of historical texts through advanced neural network techniques.
READ-BAD	https://doi.org/10.24963/ijcai.2018/147 (2018)	https://doi.org/10.1109/DAS.2018.38 (2017)	The READ-BAD dataset is used to evaluate baseline detection methods in archival documents, specifically focusing on the accuracy of identifying text line start and end points. This dataset enables researchers to assess and improve the precision of text line segmentation techniques, which is crucial for enhancing the readability and accessibility of historical documents.
CB55	https://doi.org/10.1007/978-3-030-86331-9_34 (2021)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The CB55 dataset, part of the ICDAR dataset, is used to evaluate text line segmentation methods in historical documents. It focuses on assessing the layout and structure of text lines, enabling researchers to refine and compare algorithms designed for this specific task. This dataset supports the development of more accurate and robust text line segmentation techniques in historical document analysis.
CSG18	https://doi.org/10.1007/978-3-030-86331-9_34 (2021)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The CSG18 dataset, part of the ICDAR2017 collection, is used to evaluate text line segmentation in medieval manuscripts. It emphasizes the complexity of layout structures, enabling researchers to assess and improve algorithms designed to handle intricate historical document layouts. This dataset facilitates the development and testing of segmentation techniques tailored to the unique challenges of medieval texts.
CSG863	https://doi.org/10.1007/978-3-030-86331-9_34 (2021)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The CSG863 dataset, part of the ICDAR2017 collection, is used to test text line segmentation algorithms in historical documents. It focuses on addressing layout challenges, enabling researchers to evaluate and improve the accuracy of text line segmentation techniques in complex historical layouts.
ICDAR 2009	https://doi.org/10.5392/IJOC.2014.10.3.035 (2014)	https://doi.org/10.1109/ICFHR.2010.120 (2010)	The ICDAR 2009 dataset is used to evaluate methods for text line segmentation in historical documents. Researchers focus on performance metrics and accuracy to assess the effectiveness of their proposed techniques. This dataset enables rigorous testing and comparison of segmentation algorithms, contributing to advancements in historical document analysis.
database of unconstrained handwritten Polish documents	https://doi.org/10.1515/amcs-2017-0014 (2017)	https://www.semanticscholar.org/paper/a2d23f8386f45848a62bde3e010a712be3e29a84	The dataset of unconstrained handwritten Polish documents is used to evaluate the performance of text line segmentation algorithms. Researchers compare these algorithms with projection-based methods, focusing on the accuracy and effectiveness in segmenting lines of text in historical Polish documents. This dataset enables the assessment of different methodologies in handling the complexities of unconstrained handwriting, providing insights into improving text line segmentation techniques.
VML-AHTE	https://doi.org/10.1007/978-3-030-86331-9_34 (2021)	https://doi.org/10.1007/978-3-030-68787-8_9 (2021)	The VML-AHTE dataset is used to evaluate text line segmentation methods in Arabic handwritten documents. It focuses on addressing the challenges posed by crowded diacritics and cramped text lines, enabling researchers to test and improve algorithms designed to handle these specific issues in historical document analysis.
IAM Hist-DB	https://doi.org/10.1080/13682199.2018.1499226 (2018)	https://doi.org/10.1016/J.PROCS.2016.07.227 (2016)	The IAM Hist-DB dataset is used for handwritten document analysis, specifically focusing on text line segmentation and baseline recognition. Researchers complement the dataset with additional handwriting image samples to enhance its utility. This approach helps in addressing the challenges of accurately segmenting and recognizing text lines in historical documents, enabling more precise and reliable analysis of handwritten content.
READ Dataset	https://doi.org/10.1109/ICDAR.2019.00066 (2019)	https://doi.org/10.1109/ICFHR-2018.2018.00089 (2018)	The READ Dataset is used in the ICFHR2018 competition for automated text recognition, specifically focusing on text line segmentation in historical documents. It serves as a benchmark to evaluate OCR systems, enabling researchers to compare the performance of different algorithms and methodologies in accurately segmenting text lines from historical documents.
PAGE	https://doi.org/10.1109/ICDARW.2019.50109 (2019)	https://doi.org/10.1109/ICPR.2010.72 (2010)	The PAGE dataset is used to provide ground truth annotations in XML format for evaluating text line segmentation algorithms in historical documents. It focuses on precise labeling to validate and improve the accuracy of these algorithms, ensuring reliable text line segmentation in digitized historical texts.
ICDAR 2013	https://doi.org/10.1109/icfhr-2018.2018.00069 (2018)	https://doi.org/10.1145/3103010.3121037 (2017)	The ICDAR 2013 dataset is used to train and evaluate text line segmentation methods, particularly for Arabic handwritten documents. Researchers employ extremely randomized trees for baseline detection, focusing on improving the accuracy of text line segmentation. This dataset enables the development and testing of algorithms tailored to the complexities of historical Arabic scripts.
