Name (extracted)	Citing Article	Citied Article	Features	Analysis_Source	Homepage_URL
Iam Database	https://doi.org/10.1007/s10032-006-0023-z (2007), https://www.semanticscholar.org/paper/2c4c976fdf3d8191caeb097c07f64e500b2f6712 (2016)	https://doi.org/10.1109/ICDAR.1999.791885 (1999)	The IAM database is used to provide material for developing methods focused on handwritten page segmentation, particularly for text line segmentation in historical documents. This dataset enables researchers to test and refine algorithms designed to accurately segment lines of text in handwritten pages, enhancing the processing and analysis of historical documents.; The IAM database is used to train and evaluate algorithms for text line segmentation in handwritten English texts, with a focus on accuracy and robustness. It provides material for handwritten page segmentation, particularly addressing text line segmentation in historical documents. This dataset enables researchers to test and improve segmentation methods, enhancing their performance on complex, historical handwriting.	cited_context | citing_context	
IAM Hist-DB	https://doi.org/10.1080/13682199.2018.1499226 (2018)	https://doi.org/10.1016/J.PROCS.2016.07.227 (2016)	The IAM Hist-DB dataset is used for handwritten document analysis, specifically focusing on text line segmentation and baseline recognition. Researchers complement the dataset with additional handwriting image samples to enhance its utility. This approach helps in addressing the challenges of accurately segmenting and recognizing text lines in historical documents, enabling more precise and reliable analysis of handwritten content.	citing_context	
IAM-HistDB	https://doi.org/10.1109/DAS.2018.38 (2017)	https://doi.org/10.1145/2037342.2037348 (2011)	The IAM-HistDB dataset is used to evaluate text line segmentation methods in historical documents, specifically covering a range of documents such as the Saint Gall, Parzival, and Washington databases, as well as Latin manuscripts with varying difficulties. This dataset enables researchers to assess the performance and robustness of segmentation algorithms across diverse historical texts.	cited_context	
Icdar 2009	https://doi.org/10.5392/IJOC.2014.10.3.035 (2014), https://doi.org/10.1007/978-3-030-68787-8_9 (2021)	https://doi.org/10.1109/ICFHR.2010.120 (2010)	The ICDAR 2009 dataset is used to evaluate methods for text line segmentation in historical documents. Researchers focus on performance metrics and accuracy to assess the effectiveness of their proposed techniques. This dataset enables rigorous testing and comparison of segmentation algorithms, contributing to advancements in historical document analysis.; The ICDAR 2009 dataset is used for evaluating text line extraction methods in historical documents, focusing on the accuracy and robustness of algorithms. It serves as a benchmark for comparing the performance of different text line segmentation techniques, enabling researchers to assess and improve algorithmic effectiveness in processing historical texts.	cited_context | citing_context	
ICDAR 2009: Handwriting Segmentation Contest	https://doi.org/10.34768/amcs-2020-0043 (2020)		The ICDAR 2009: Handwriting Segmentation Contest dataset is used to evaluate the accuracy and robustness of text line segmentation algorithms in historical document processing. Researchers focus on segmenting handwritten lines, assessing algorithm performance through precision and reliability metrics. This dataset enables the development and refinement of techniques for handling the complexities of historical handwriting, enhancing the automated processing of archival materials.	cited_context	
Icdar 2013	https://doi.org/10.1109/icfhr-2018.2018.00069 (2018), https://doi.org/10.1007/978-3-030-68787-8_9 (2021)	https://doi.org/10.1145/3103010.3121037 (2017)	The ICDAR 2013 dataset is used to train and evaluate text line segmentation methods, particularly for Arabic handwritten documents. Researchers employ extremely randomized trees for baseline detection, focusing on improving the accuracy of text line segmentation. This dataset enables the development and testing of algorithms tailored to the complexities of historical Arabic scripts.; The ICDAR 2013 dataset is used for evaluating text line extraction methods, particularly in handling diverse historical document layouts. It serves as a standardized test set to assess the accuracy and robustness of algorithms, enabling researchers to compare and improve text line segmentation techniques.	cited_context | citing_context	
ICDAR 2013 competition corpus	https://doi.org/10.1109/icfhr-2018.2018.00069 (2018)	https://www.semanticscholar.org/paper/cfefb046907c9a4719cfa351354b0c7c4e6d3ed7	The ICDAR 2013 competition corpus is used to evaluate text line segmentation algorithms, particularly in the context of historical documents. Researchers focus on performance metrics and comparative analysis with other methods from the competition. This dataset enables rigorous testing and benchmarking of segmentation techniques, facilitating advancements in the field by providing a standardized evaluation framework.	citing_context	
Icdar 2013 Test Dataset	https://doi.org/10.1109/ICFHR-2018.2018.00050 (2018)	https://doi.org/10.1109/ICDAR.2007.127 (2007)	The ICDAR 2013 test dataset is used to evaluate the performance of text line segmentation methods in document recognition, focusing on accuracy. Researchers employ specific metrics to compare different approaches, ensuring robust evaluation. This dataset enables the assessment of segmentation techniques, contributing to advancements in document analysis and recognition systems.; The ICDAR 2013 test dataset is used to evaluate the performance of text line segmentation methods in historical documents. It measures accuracy using metrics such as DR, RA, and FM, providing standardized test cases for comparing different approaches. This enables researchers to benchmark and refine their algorithms effectively.	cited_context | citing_context	
ICDAR 2017	https://doi.org/10.1007/978-3-030-68787-8_9 (2021)	https://www.semanticscholar.org/paper/3e0e337b477e0c226da00eae03fd29882275a469 (1893)	The ICDAR 2017 dataset is used for evaluating text line detection methods, specifically focusing on the identification and segmentation of text lines in complex documents. It enables researchers to assess the performance of various algorithms in accurately segmenting text lines, which is crucial for improving the readability and accessibility of digitized documents.	cited_context	
ICDAR 2017 competition	https://doi.org/10.1109/ICPR56361.2022.9956617 (2022)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The ICDAR 2017 competition dataset is used to evaluate text line segmentation algorithms on medieval manuscripts, addressing layout analysis challenges. Researchers employ this dataset to assess algorithm performance using a private test set of 30 pages (875 lines), focusing on the accuracy and robustness of segmentation techniques in historical documents.	citing_context	
ICDAR 2017 Task-3	https://doi.org/10.1007/978-3-030-68787-8_9 (2021)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The ICDAR 2017 Task-3 dataset is used to evaluate text line segmentation methods in medieval manuscripts, addressing layout analysis challenges. Researchers compare the performance of different segmentation techniques against established benchmarks, focusing on improving the accuracy and reliability of text line detection in historical documents. This dataset enables rigorous testing and validation of new methodologies in this specialized field.	cited_context	
ICDAR 2019 HDRC-Chinese dataset	https://doi.org/10.1109/ICDAR.2019.00194 (2019)	https://doi.org/10.1109/ICFHR.2010.120 (2010)	The ICDAR 2019 HDRC-Chinese dataset is used to evaluate text line segmentation algorithms on Chinese historical documents, particularly focusing on complex layouts and handwriting styles. It assesses the performance of algorithms in handling intricate scripts and layouts, enabling researchers to improve the accuracy of text line segmentation in challenging historical documents.	cited_context	
Icdar2009	https://doi.org/10.1109/ICFHR-2018.2018.00072 (2018)	https://doi.org/10.1109/ICDAR.2007.127 (2007)	The ICDAR2009 dataset is used to evaluate the performance of handwriting segmentation approaches, specifically focusing on text line segmentation accuracy in historical documents. Researchers employ this dataset to assess and compare the effectiveness of their methods in accurately segmenting text lines, which is crucial for improving the readability and accessibility of historical texts.	cited_context | citing_context	
Icdar2013	https://doi.org/10.1109/ICFHR-2018.2018.00072 (2018)	https://doi.org/10.1109/ICDAR.2007.127 (2007)	The ICDAR2013 dataset is used to evaluate the performance of handwriting segmentation approaches, specifically focusing on text line segmentation accuracy in historical documents. Researchers employ this dataset to assess and compare the effectiveness of their methods in accurately segmenting text lines, which is crucial for improving the readability and accessibility of historical texts.	cited_context | citing_context	
ICDAR2017	https://doi.org/10.1007/978-3-030-86331-9_34 (2021)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The ICDAR2017 dataset is used to evaluate layout analysis methods and text line segmentation algorithms in challenging medieval manuscripts. It focuses on assessing the accuracy and effectiveness of these techniques in segmenting text lines and analyzing document structure. This dataset enables researchers to improve and validate their methodologies for processing historical documents.	citing_context	
