Analysis_Source	Name (extracted)	Citing Article	Citied Article	Features	Name_Variants	Homepage_URL
cited_context | citing_context	Anyir	https://doi.org/10.48550/arXiv.2410.15067 (2024)	https://doi.org/10.48550/arXiv.2401.13221 (2024)	The AnyIR dataset is used to evaluate all-in-one image restoration methods, specifically focusing on their ability to handle multiple degradations and their versatility. This dataset enables researchers to assess the performance of these techniques under diverse conditions, ensuring they can effectively restore images with various types of degradation.; The AnyIR dataset is used for evaluating and testing all-in-one image restoration techniques, specifically focusing on handling multiple degradation types simultaneously. It enables researchers to assess the versatility of restoration methods across various degradations, ensuring robust performance in a single framework. This dataset supports the development and evaluation of comprehensive image restoration solutions.	AnyIR	
citing_context	AVIRIS	https://www.semanticscholar.org/paper/1fb8e5cc1d55d637a55be02138224cb4b9e87465 (2024)	https://doi.org/10.1016/j.isprsjprs.2022.04.007 (2022)	The AVIRIS dataset is used for evaluating and experimenting with hyperspectral image restoration methods, particularly focusing on composite degradations. It leverages extensive HSI data with numerous spectral bands across diverse geographical areas, enabling researchers to assess the performance of restoration techniques like PromptHSI against others. This dataset's comprehensive coverage and high spectral resolution facilitate robust testing and validation in hyperspectral image restoration research.		
cited_context	B100	https://doi.org/10.48550/arXiv.2210.01427 (2022), https://www.semanticscholar.org/paper/34439db81b482cd562e1cdba974c70a2b89cd6d4 (2019), https://doi.org/10.48550/arXiv.2210.00405 (2022) (+2)	https://doi.org/10.5244/C.26.135 (2012)	Dataset B100 is primarily used for evaluating image super-resolution methods, focusing on low-complexity algorithms and sparse-representation techniques. It consists of 100 high-resolution natural images and is employed to assess the performance of image restoration algorithms, particularly in scaling up images. Research questions often center on the effectiveness of these methods, measured using PSNR and SSIM metrics.		
cited_context | citing_context	Baid	https://doi.org/10.48550/arXiv.2501.12981 (2025)	https://doi.org/10.1016/j.cviu.2022.103403 (2022)	The BAID dataset is used to validate the performance of UniUIR on backlit image enhancement, specifically by comparing it against other methods. This dataset enables researchers to assess and benchmark the effectiveness of image restoration techniques in enhancing backlit images, focusing on the improvement of visual quality and detail recovery.	BAID	
cited_context	BAPPS	https://www.semanticscholar.org/paper/f942a4a56e6549c83844747ad6c4ae58000b2988 (2020)	https://doi.org/10.1109/CVPR.2018.00194 (2018)	The BAPPS dataset is used as a benchmark for perceptual image quality assessment, specifically to evaluate the effectiveness of image restoration algorithms in preserving visual fidelity. It enables researchers to assess how well these algorithms maintain the perceptual quality of restored images, focusing on the visual fidelity aspect rather than just technical metrics. This dataset facilitates the comparison and validation of different image restoration techniques in terms of their ability to produce visually pleasing results.		
cited_context	BBD-100k	https://doi.org/10.1109/TIP.2021.3051462 (2019)	https://doi.org/10.1109/cvpr42600.2020.00271 (2018)	The BBD-100k dataset is used to evaluate and demonstrate the effectiveness of image restoration techniques, particularly in diverse driving scenarios. It supports visual comparisons and showcases the ability of models like EnlightenGAN to improve image quality. The dataset's diverse scenarios enable researchers to test and validate multitask learning approaches in image restoration.		
cited_context	Berkeley Segmentation Dataset (BSD)	https://www.semanticscholar.org/paper/cbd65255f6266f798326acc8e0654e40ea0918cf (2018), https://doi.org/10.1109/CVPRW.2018.00121 (2018), https://doi.org/10.1109/ICCV.2017.486 (2017) (+1)	https://doi.org/10.1109/ICCV.2001.937655 (2001)	The Berkeley Segmentation Dataset (BSD) is primarily used for training and evaluating image restoration and denoising models. It provides a diverse set of natural images, often combined from train, validation, and test sets, to generate image patches and construct comprehensive datasets. Researchers use the dataset to focus on natural image boundaries and structures, enhancing the performance of segmentation and restoration algorithms. The dataset's versatility in providing high-quality, varied images makes it a valuable resource for improving the robustness and accuracy of image processing techniques.		
cited_context	Bokeh Effect Transformation dataset	https://doi.org/10.1109/CVPRW59228.2023.00169 (2023)	https://doi.org/10.1109/CVPR52688.2022.00564 (2021)	The Bokeh Effect Transformation dataset is used to evaluate the effectiveness of image restoration methods, particularly in high-resolution image restoration tasks. It is employed to compare the performance of the proposed method against state-of-the-art techniques like Restormer. This dataset enables researchers to assess and benchmark the quality and efficiency of their restoration algorithms.		
cited_context | citing_context	Bsd	https://doi.org/10.48550/arXiv.2410.15385 (2024), https://doi.org/10.1109/CVPR52733.2024.00277 (2023), https://doi.org/10.48550/arXiv.2407.00676 (2024) (+1), https://www.semanticscholar.org/paper/cbd65255f6266f798326acc8e0654e40ea0918cf (2018), https://doi.org/10.48550/arXiv.2407.00676 (2024), https://doi.org/10.48550/arXiv.2404.12091 (2024) (+2)	https://doi.org/10.1109/TIP.2018.2867951 (2017), https://doi.org/10.1109/ICCV.2001.937655 (2001)	The BSD dataset is primarily used for training and evaluating models in image restoration, specifically for denoising and deblurring tasks. It provides a benchmark with 400 natural images, often concatenated with other datasets like WED, to form robust training sets. This dataset enables researchers to assess the performance of denoising algorithms and improve image restoration techniques through diverse, ground-truth annotated images.; The BSD dataset is primarily used for training and testing image restoration models, focusing on denoising and deblurring tasks. It provides a diverse set of natural images with ground truth annotations, enabling researchers to enhance model performance through patch cropping and concatenation with other datasets like WED. The dataset's 200 training, 100 validation, and 200 test images are used to evaluate model effectiveness at various noise levels (σ = 30, 50, 70). Additionally, BSD is utilized to explore overlaps in ground truths with UCID, impacting the separation of dataset-level or density-level properties in instance-level representations.	BSD	
cited_context	BSD dataset	https://doi.org/10.1109/CVPRW59228.2023.00178 (2023)	https://doi.org/10.1109/ICCV.2001.937655 (2001)	The BSD dataset is used to train and evaluate early image restoration methods, specifically employing a larger set of 400 images. This dataset helps assess the generalization and robustness of these methods, enabling researchers to test and improve the performance of image restoration techniques across diverse image content.		
cited_context	BSD train set	https://www.semanticscholar.org/paper/cbd65255f6266f798326acc8e0654e40ea0918cf (2018), https://doi.org/10.1109/ICCV.2017.486 (2017)	https://doi.org/10.1109/ICCV.2001.937655 (2001)	The BSD train set is used for training models in image super-resolution, specifically contributing 200 images from the Berkeley Segmentation Dataset. These images are utilized to enhance model performance and are integral to the training process in single image super-resolution tasks. The dataset's images help improve the resolution and quality of output images in these models.		
cited_context	BSD-grayscale	https://doi.org/10.1109/CVPR.2019.00717 (2019)	https://doi.org/10.1109/ICCV.2001.937655 (2001)	The BSD-grayscale dataset is used for training and testing image restoration models, particularly focusing on grayscale images. It evaluates the performance of techniques such as denoising and deblurring, specifically assessing the effectiveness of the DuRN-P model in removing additive Gaussian noise at levels 30, 50, and 70. This dataset enables researchers to benchmark and compare different restoration methods in controlled conditions.		
cited_context | citing_context	Bsd100	https://doi.org/10.48550/arXiv.2410.15067 (2024), https://doi.org/10.1109/ICCVW54120.2021.00210 (2021), https://www.semanticscholar.org/paper/cbd65255f6266f798326acc8e0654e40ea0918cf (2018), https://doi.org/10.1109/CVPRW.2018.00121 (2018) (+6)	https://doi.org/10.1109/ICCV.2001.937655 (2001), https://doi.org/10.1007/978-3-642-27413-8_47 (2010)	The BSD100 dataset is primarily used for super-resolution tasks, specifically single image super-resolution. It provides high-quality images for both training and evaluation, enabling researchers to enhance the resolution of low-quality images. The dataset's high-quality images facilitate the development and testing of algorithms aimed at improving image clarity and detail.; The BSD100 dataset is primarily used for evaluating image super-resolution methods, focusing on performance metrics such as PSNR and SSIM at various upscaling factors (×2, ×3, and ×4). It is employed to assess the quality and effectiveness of single-image super-resolution techniques, enabling researchers to compare and validate their methods against established benchmarks.	BSD100	
cited_context | citing_context	Bsd300	https://doi.org/10.1109/TCSVT.2024.3398810 (2023)	https://doi.org/10.1109/TCSVT.2019.2920407 (2017)	The BSD300 dataset is primarily used for image denoising research, where it serves as a benchmark for evaluating the performance of noise reduction techniques. Specifically, it is utilized in studies employing conditional generative adversarial networks (cGANs) to enhance image quality by effectively reducing noise. This dataset's diverse and high-quality images enable researchers to test and refine their models, ensuring robustness and generalizability in various denoising applications.; The BSD300 dataset is primarily used for denoising research, serving as a benchmark for evaluating denoising methods. It provides a well-known collection of clean and noisy images, enabling researchers to test and compare the effectiveness of various denoising algorithms. This dataset facilitates the development and validation of image restoration techniques by offering standardized data for consistent performance assessment.	BSD300	
cited_context | citing_context	Bsd400	https://doi.org/10.48550/arXiv.2410.15067 (2024), https://doi.org/10.1109/CVPR52688.2022.01693 (2022), https://doi.org/10.48550/arXiv.2411.18466 (2024) (+21), https://doi.org/10.48550/arXiv.2410.15067 (2024), https://doi.org/10.1109/CVPR52688.2022.01693 (2022), https://doi.org/10.48550/arXiv.2312.05038 (2023) (+19)	https://doi.org/10.1109/TIP.2016.2631888 (2017)	The BSD400 dataset is primarily used for image denoising research, focusing on improving image quality by reducing noise while preserving important features. It is employed to train and evaluate denoising models using synthetic Gaussian noise at various levels (σ = 15, 25, 50). The dataset provides a diverse set of natural images, enhancing model robustness and serving as a benchmark for comparing denoising algorithms. Additionally, it is used to evaluate image restoration models under various degradations, including rain, haze, blur, and low-light conditions, making it a valuable resource for assessing performance across diverse image content.; The BSD400 dataset is primarily used for training and evaluating image restoration models, with a focus on denoising, deblurring, and addressing various degradations such as rain, haze, noise, blur, and low-light conditions. It provides 400 high-quality, diverse images that enhance model performance and robustness, serving as a benchmark for assessing restoration quality.	BSD400	
cited_context	BSD500	https://doi.org/10.1145/3528233.3530757 (2021), https://doi.org/10.48550/arXiv.2407.20928 (2024), https://doi.org/10.1109/TNNLS.2021.3131739 (2020) (+4)	https://doi.org/10.1109/TPAMI.2010.161 (2011)	The BSD500 dataset is primarily used for training and evaluating models in image restoration tasks, particularly focusing on image denoising and reducing JPEG compression artifacts. It provides a diverse set of natural images, which enhances the generalization and performance of restoration models. The dataset is also utilized to generate synthetic noisy images, contributing to comprehensive training sets and enabling robust model evaluation.		
cited_context | citing_context	Bsd68	https://doi.org/10.1109/CVPR52688.2022.01693 (2022), https://doi.org/10.48550/arXiv.2404.02154 (2024), https://doi.org/10.48550/arXiv.2403.14614 (2024) (+20), https://doi.org/10.1109/CVPR52688.2022.01693 (2022), https://doi.org/10.1007/s11263-023-01843-5 (2023), https://doi.org/10.1109/TPAMI.2021.3088914 (2020) (+26)	https://doi.org/10.1109/ICCV.2001.937655 (2001)	The BSD68 dataset is primarily used for evaluating image denoising and restoration algorithms. It serves as a testing set containing 68 ground truth images, often used after training on larger datasets like BSD400 and WED. Researchers employ it to assess performance at various noise levels, focusing on natural images with human-segmented annotations. The dataset is crucial for benchmarking denoising models, evaluating restoration quality, and enhancing visual performance metrics.; The BSD68 dataset is primarily used for evaluating image denoising and restoration algorithms. It focuses on performance metrics under controlled conditions, particularly at noise levels σ=15, σ=25, and σ=50. The dataset includes a diverse set of natural images, some with human-segmented annotations, which allows researchers to test the robustness and generalization capabilities of their methods. It is used to assess both grayscale and color image denoising, emphasizing the performance of algorithms across varying complexities and noise intensities.	BSD68	
cited_context	BSDS	https://doi.org/10.48550/arXiv.2306.05390 (2023)	https://doi.org/10.7892/BORIS.113226 (2017)	The BSDS dataset is used for evaluating image restoration algorithms, specifically for denoising and dejpeg tasks. It contains 400 images, which researchers use to assess the performance of their algorithms. The dataset's diverse image content enables robust testing and validation of restoration techniques, ensuring they effectively handle various types of image degradation.		
cited_context	BSDS100	https://doi.org/10.1007/978-3-030-58523-5_36 (2020), https://doi.org/10.48550/arXiv.2310.10513 (2023)	https://doi.org/10.1007/978-3-642-27413-8_47 (2010)	The BSDS100 dataset is primarily used to evaluate and test image restoration methods, focusing on edge preservation, texture recovery, and segmentation accuracy under various distortions and resolutions. It assesses the generalization ability of restoration models on images with blended distortions, enabling researchers to compare performance metrics and refine techniques for better edge detection and overall image quality.		
cited_context	BSDS400	https://doi.org/10.48550/arXiv.2306.05390 (2023)	https://doi.org/10.1109/CVPRW.2017.150 (2017)	The BSDS400 dataset is used for image restoration, featuring 400 clean images. It serves as a benchmark to compare with larger datasets like HQ-50K, highlighting differences in scale. This dataset enables researchers to evaluate and contrast the performance of image restoration techniques, providing a standardized set of high-quality images for method validation and comparison.		
cited_context	BSDS500	https://doi.org/10.1109/CVPRW63382.2024.00645 (2024)		The BSDS500 dataset is primarily used to evaluate edge detection and segmentation performance, which is crucial for assessing the effectiveness of image restoration algorithms in preserving fine image details. Researchers employ this dataset to test and compare different methodologies, focusing on how well these techniques maintain structural integrity and clarity in restored images. The dataset's rich set of annotated images enables rigorous and standardized evaluation, facilitating advancements in image processing and computer vision.		
cited_context	Caltech-UCSD Birds-200-2011	https://doi.org/10.1109/CVPR52729.2023.01351 (2023)	https://www.semanticscholar.org/paper/c069629a51f6c1c301eb20ed77bc6b586c24ce32 (2011)	The Caltech-UCSD Birds-200-2011 dataset is used to evaluate image restoration methods, particularly in the context of bird classification tasks. Researchers focus on assessing the performance of these methods under low contrast conditions, utilizing the dataset's detailed images of birds to test and improve the accuracy of classification algorithms in challenging visual environments.		
cited_context | citing_context	Cbsd68	https://doi.org/10.48550/arXiv.2406.18242 (2024), https://doi.org/10.48550/arXiv.2310.10123 (2023), https://doi.org/10.48550/arXiv.2505.12630 (2025) (+3), https://doi.org/10.48550/arXiv.2407.20928 (2024), https://doi.org/10.1109/TPAMI.2021.3088914 (2020), https://doi.org/10.48550/arXiv.2310.10123 (2023) (+12)	https://doi.org/10.1109/CVPR.2015.7299156 (2015), https://doi.org/10.1109/ICCV.2001.937655 (2001)	The CBSD68 dataset is primarily used for evaluating and benchmarking image denoising and restoration algorithms. It consists of 68 color images with known ground truth, enabling researchers to test performance under various noise levels (σ = 15, 25, 50). The dataset facilitates visual comparisons and quantitative assessments, focusing on denoising accuracy, detail preservation, and overall image quality. It serves as a standard benchmark for comparing state-of-the-art methods in image restoration.; The CBSD68 dataset is primarily used for evaluating image denoising performance, particularly in natural images with complex textures and structures. It is employed to test and benchmark various denoising algorithms, including those focused on synthetic noisy images with varying noise levels. The dataset supports research by providing human-segmented images, enabling detailed comparisons of PSNR values and restoration quality across different methods and noise conditions.	CBSD68	
cited_context | citing_context	Cdd-11	https://doi.org/10.1109/TIP.2025.3572788 (2025), https://www.semanticscholar.org/paper/4af9a92a556981375dab533ccc55860f01c8b5da (2025), https://doi.org/10.48550/arXiv.2410.08688 (2024)	https://doi.org/10.48550/arXiv.2407.04621 (2024), https://doi.org/10.1007/978-3-030-58595-2_30 (2020)	The CDD-11 dataset is used to evaluate and simulate image restoration under various compositional degradations, including 11 types such as haze, rain, snow, and low-light conditions. It focuses on assessing the performance of the OneRestore framework in handling these degradation scenarios, enabling researchers to test and improve image restoration techniques in realistic settings.; The CDD-11 dataset is used to evaluate and compare low-order methods integrated with CoR against end-to-end methods in image restoration. It focuses on One-to-One and One-to-Many restoration techniques, encompassing 11 degradation types such as l, h, r, s, and their combinations. This dataset enables researchers to assess the effectiveness of different restoration approaches under various degradation scenarios.	CDD-11	
cited_context	CelebA	https://doi.org/10.1109/CVPR52729.2023.00958 (2023)	https://www.semanticscholar.org/paper/744fe47157477235032f7bb3777800f9f2f45e52 (2017)	The CelebA dataset is used in research to evaluate image restoration techniques, specifically focusing on inpainting and super-resolution tasks. It is employed to demonstrate the visual quality and effectiveness of models in restoring 256x256 celebrity face images, with an emphasis on facial detail recovery. Additionally, it is used to test generative models' capabilities in producing high-fidelity facial images, assessing consistency and FID scores.		
cited_context	CelebA 1K	https://doi.org/10.48550/arXiv.2308.09388 (2023)	https://doi.org/10.1109/ICCV.2015.425 (2014)	The CelebA 1K dataset is used to test and evaluate image restoration models, specifically focusing on 4x super-resolution and zero-shot deblurring tasks. It is employed to enhance facial details and textures in celebrity images, enabling researchers to assess the performance of these models in restoring and deblurring facial features.		
cited_context	CelebA-HQ	https://doi.org/10.48550/arXiv.2308.09388 (2023), https://doi.org/10.1109/TPAMI.2024.3461721 (2024)	https://doi.org/10.1109/ICCV.2001.937655 (2001)	The CelebA-HQ dataset is used for evaluating face super-resolution models, focusing on high-quality facial images to test accuracy and detail preservation. It is also utilized to construct a test dataset of 2,000 facial images, specifically for assessing the quality of facial image restoration. The dataset's high-resolution and detailed facial images enable researchers to rigorously evaluate and compare different restoration techniques.		
cited_context	CelebA-Test	https://doi.org/10.48550/arXiv.2308.15070 (2023)	https://doi.org/10.1109/ICCV.2015.425 (2014)	The CelebA-Test dataset is used to evaluate the performance of image restoration methods, specifically DiffBIR and BFR. It focuses on achieving high FID scores and improving attribute restoration and recognition accuracy on synthetic face images. The dataset's facial attributes and synthetic nature enable researchers to rigorously test and compare different restoration techniques.		
cited_context	CelebChild-Test	https://doi.org/10.48550/arXiv.2308.15070 (2023)	https://doi.org/10.1109/ICCV.2015.425 (2014)	The CelebChild-Test dataset is used to evaluate the BFR method on real-world child face images, focusing on the robustness and generalization of the model. This dataset specifically supports research in facial image restoration, enabling researchers to test how well their models perform on diverse and challenging child face images.		
cited_context | citing_context	Challenge-60	https://doi.org/10.48550/arXiv.2501.12981 (2025)	https://doi.org/10.1109/TCSVT.2019.2963772 (2019)	The Challenge-60 dataset is used for evaluating and comparing the performance of underwater image restoration methods, particularly focusing on enhancing images under natural light conditions. It is employed to assess color correction and visual quality, enabling researchers to visually compare restoration results and test algorithms like NU2Net. This dataset facilitates the development and refinement of techniques for improving underwater imagery in challenging natural light environments.; The Challenge-60 dataset is used for evaluating and comparing the performance of image restoration methods, particularly in enhancing structural details and color correction under natural light conditions. It is specifically applied to assess underwater image restoration techniques, focusing on visual quality and the effectiveness of methods like NU2Net in improving images captured in diverse natural lighting environments.	Challenge-60	
citing_context	Cityscape	https://doi.org/10.1109/TMM.2024.3377136 (2024)	https://doi.org/10.1109/TPAMI.2016.2577031 (2015)	The Cityscape dataset is primarily used for pre-training the Faster-RCNN object detector, enhancing object detection accuracy in the context of all-in-one image restoration. This dataset's rich annotations and diverse urban scenes enable researchers to improve the robustness and precision of object detection models, which is crucial for effective image restoration tasks.		
cited_context	Classic5	https://doi.org/10.1007/s11263-023-01843-5 (2023), https://doi.org/10.48550/arXiv.2210.00405 (2022), https://doi.org/10.1109/ICCVW54120.2021.00210 (2021) (+4)	https://doi.org/10.1109/TIP.2007.891788 (2007)	The Classic5 dataset is primarily used to evaluate the performance of image restoration techniques, including denoising, deblocking, and super-resolution. It consists of five classic images and is employed to test methods under various conditions such as different noise levels, JPEG quality factors, and compression artifacts. Researchers use it to compare models like BNNs and deep CNNs, focusing on metrics like image quality and artifact reduction. The dataset's ground truth images enable precise performance assessment in these specific applications.		
cited_context	Clean	https://doi.org/10.48550/arXiv.2404.12091 (2024)	https://doi.org/10.1109/CVPR.2017.183 (2016)	The 'Clean' dataset is used as a baseline to evaluate the quality of de-rained images by comparing them against clean images. This ensures that the feature extractor maintains image fidelity. The dataset enables researchers to assess the effectiveness of image restoration techniques, specifically focusing on de-raining, by providing a standard reference for image quality.		
cited_context	CoCo	https://doi.org/10.1109/CVPR52729.2023.01351 (2023)	https://doi.org/10.1007/s11263-015-0816-y (2014)	The CoCo dataset is used to provide a rich semantic representation space for image restoration, particularly focusing on common objects in context. This enables researchers to enhance the contextual understanding and accuracy of restored images, addressing specific challenges related to object-centric restoration.		
cited_context	Comprehensive Snow Database (CSD)	https://doi.org/10.1109/ICCV51070.2023.01983 (2023)	https://doi.org/10.1109/ICCV48922.2021.00416 (2021)	The Comprehensive Snow Database (CSD) is used for training and testing image restoration algorithms, focusing on mitigating snow and fog degradation. It contains 8000 training and 2000 testing images, enabling researchers to develop and evaluate algorithms that enhance image quality under adverse weather conditions. This dataset supports the advancement of image restoration techniques by providing a diverse set of images that simulate real-world challenges.		
cited_context	CSBD68	https://doi.org/10.1109/CVPR.2019.01131 (2019)	https://doi.org/10.1109/TIP.2017.2662206 (2016)	The CSBD68 dataset is used to train and evaluate image denoising models, specifically focusing on residual learning with deep CNNs in RGB channels. This dataset enables researchers to assess the performance of their models in removing noise while preserving image details, contributing to advancements in image restoration techniques.		
cited_context | citing_context	Csd	https://doi.org/10.3390/electronics13142817 (2024), https://doi.org/10.1109/TIP.2025.3572788 (2025), https://doi.org/10.1109/TCSVT.2024.3429557 (2024) (+3), https://doi.org/10.24963/ijcai.2024/80 (2024), https://doi.org/10.1109/TPAMI.2023.3330416 (2023), https://doi.org/10.1109/TCSVT.2024.3429557 (2024) (+10)	https://doi.org/10.1109/ICCV48922.2021.00416 (2021)	The CSD dataset is primarily used for training and evaluating image restoration algorithms, particularly for haze and snow removal. It serves as a benchmark for assessing the performance of dehazing and desnowing models using metrics like PSNR, MS-SSIM, and BD-PSNR. The dataset includes synthetic hazy and snowy images, enabling researchers to focus on visual fidelity and artifact reduction in image restoration.; The CSD dataset is primarily used for training and evaluating image restoration algorithms, particularly focusing on desnowing and deraining tasks. It provides a diverse set of images with various weather degradations, enabling researchers to assess the effectiveness of models in removing rain, snow, and other weather-related distortions. The dataset supports the development and comparison of algorithms by offering realistic scenarios and facilitating the evaluation of performance metrics such as PSNR and model complexity.	CSD	
cited_context	ctest10k	https://doi.org/10.1145/3528233.3530757 (2021)	https://doi.org/10.1007/978-3-319-46493-0_35 (2016)	The ctest10k dataset is used for evaluating image restoration models, particularly focusing on the 10,000 image subset from the ImageNet validation set. It is employed to assess the performance of these models, with specific emphasis on colorization tasks. This dataset enables researchers to benchmark and compare different image restoration techniques, ensuring robust evaluation through a standardized set of images.		
cited_context	CUB	https://doi.org/10.1109/CVPR52729.2023.01351 (2023)	https://www.semanticscholar.org/paper/c069629a51f6c1c301eb20ed77bc6b586c24ce32 (2011)	The CUB dataset is used for pre-training recognition models like VGG16 and ResNet50 on clean images, which aids in evaluating restored test images from degraded sets. It is also employed in image classification tasks to compare state-of-the-art image restoration methods for both single and multiple degradations. This dataset facilitates the assessment of restoration techniques by providing a benchmark for classification accuracy post-restoration.		
cited_context	CVF dataset	https://doi.org/10.48550/arXiv.2310.10513 (2023)	https://doi.org/10.1109/CVPR.2009.5206848 (2009)	The CVF dataset is used for training and evaluating models in the context of enhancing performance on visual data. It comprises a diverse array of figures from computer vision papers, which helps in improving model robustness and generalization. This dataset is specifically utilized to address research questions related to image restoration and visual data processing, enabling researchers to test and refine their methodologies on a wide range of visual content.		
